"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
3700011,"School District","Cumberland County Schools","Cumberland County",0.867167196072769,"Kindergarten",NA
3700012,"School District","Pitt County Schools","Pitt County",0.942493946731235,"Kindergarten",NA
3700030,"School District","Alamance-Burlington Schools","Alamance County",0.951035781544256,"Kindergarten",NA
3700090,"School District","Alexander County Schools","Alexander County",0.942307692307692,"Kindergarten",NA
3700120,"School District","Alleghany County Schools","Alleghany County",0.942307692307692,"Kindergarten",NA
3700180,"School District","Anson County Schools","Anson County",0.963800904977376,"Kindergarten",NA
3700210,"School District","Ashe County Schools","Ashe County",0.91358024691358,"Kindergarten",NA
3700240,"School District","Asheboro City Schools","Randolph County",0.965811965811966,"Kindergarten",NA
3700270,"School District","Asheville City Schools","Buncombe County",0.946341463414634,"Kindergarten",NA
3700300,"School District","Avery County Schools","Avery County",0.927007299270073,"Kindergarten",NA
3700330,"School District","Beaufort County Schools","Beaufort County",0.951807228915663,"Kindergarten",NA
3700360,"School District","Bertie County Schools","Bertie County",0.971428571428571,"Kindergarten",NA
3700390,"School District","Bladen County Schools","Bladen County",0.935374149659864,"Kindergarten",NA
3700420,"School District","Brunswick County Schools","Brunswick County",0.956326987681971,"Kindergarten",NA
3700450,"School District","Buncombe County Schools","Buncombe County",0.923525599481529,"Kindergarten",NA
3700480,"School District","Burke County Schools","Burke County",0.96790757381258,"Kindergarten",NA
3700530,"School District","Cabarrus County Schools","Cabarrus County",0.941459152468327,"Kindergarten",NA
3700580,"School District","Caldwell County Schools","Caldwell County",0.94273127753304,"Kindergarten",NA
3700600,"School District","Camden County Schools","Camden County",0.964028776978417,"Kindergarten",NA
3700630,"School District","Carteret County Schools","Carteret County",0.966101694915254,"Kindergarten",NA
3700660,"School District","Caswell County Schools","Caswell County",0.920731707317073,"Kindergarten",NA
3700690,"School District","Catawba County Schools","Catawba County",0.943830570902394,"Kindergarten",NA
3700720,"School District","Chapel Hill-Carrboro Schools","Orange County",0.986820428336079,"Kindergarten",NA
3700750,"School District","Chatham County Schools","Chatham County",0.936305732484076,"Kindergarten",NA
3700780,"School District","Cherokee County Schools","Cherokee County",0.836909871244635,"Kindergarten",NA
3700840,"School District","Edenton-Chowan Schools","Chowan County",0.959349593495935,"Kindergarten",NA
3700870,"School District","Clay County Schools","Clay County",0.865979381443299,"Kindergarten",NA
3700900,"School District","Cleveland County Schools","Cleveland County",0.956232159847764,"Kindergarten",NA
3700930,"School District","Clinton City Schools","Sampson County",0.972972972972973,"Kindergarten",NA
3700960,"School District","Columbus County Schools","Columbus County",0.935860058309038,"Kindergarten",NA
3701080,"School District","Currituck County Schools","Currituck County",0.949832775919732,"Kindergarten",NA
3701110,"School District","Dare County Schools","Dare County",0.970099667774086,"Kindergarten",NA
3701140,"School District","Davidson County Schools","Davidson County",0.967532467532468,"Kindergarten",NA
3701170,"School District","Davie County Schools","Davie County",0.951724137931034,"Kindergarten",NA
3701200,"School District","Duplin County Schools","Duplin County",0.961021505376344,"Kindergarten",NA
3701260,"School District","Durham Public Schools","Durham County",0.526315789473684,"Kindergarten",NA
3701320,"School District","Edgecombe County Schools","Edgecombe County",0.886486486486487,"Kindergarten",NA
3701380,"School District","Elkin City Schools","Surry County",0.936842105263158,"Kindergarten",NA
3701500,"School District","Forsyth County Schools","Forsyth County",0.932590855803048,"Kindergarten",NA
3701530,"School District","Franklin County Schools","Franklin County",0.926680244399185,"Kindergarten",NA
