,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
0,1,5.80202E+11,Private School,STONY BROOK SCHOOL (THE),Suffolk,100.0,,CHAPMAN PKY
1,2,2.80502E+11,Public School,WALT WHITMAN SCHOOL,Nassau,100.0,,WOODBURY RD
2,3,1.41301E+11,Public School,IROQUOIS SHS,Erie,100.0,,BOX 32 GIRDLE RD
3,4,5.80224E+11,Private School,HOLY ANGELS REGIONAL SCHOOL,Suffolk,100.0,,DIVISION ST
4,5,6.618E+11,Public School,MILTON SCHOOL,Westchester,100.0,,HEWLET ST
5,6,6.80602E+11,Private School,SHADY WILLOW,Yates,88.0,,ROUTE 14
6,7,5.00402E+11,Private School,CHEDER CHABAD OF MONSEY,Rockland,98.0,,PO BOX 1164
7,8,6.206E+11,Private School,KINGSTON CATHOLIC SCHOOL,Ulster,99.0,,159 BROADWAY
8,9,5.8041E+11,Public School,COMMACK HIGH SCHOOL,Suffolk,100.0,,SCHOLAR LN
9,10,4.31701E+11,Public School,VICTOR INTERMEDIATE SCHOOL,Ontario,100.0,,VICTOR INTERMEDIATE SCHOOL
10,11,4.21902E+11,Public School,TULLY J S H S,Onondaga,100.0,,ELM ST
11,12,2.80515E+11,Public School,JERICHO S H S,Nassau,100.0,,CEDAR SWAMP RD
12,13,6.41301E+11,Public School,MARGARET MURPHY KINDERGARTEN CENTER,Washington,100.0,,CLARK ST
13,14,5.80235E+11,Public School,KREAMER STREET ELEM SCHOOL,Suffolk,99.0,,KREAMER ST
14,15,5.80211E+11,Public School,STAGE COACH SCHOOL,Suffolk,100.0,,STAGECOACH RD
15,16,4.80101E+11,Public School,MAHOPAC MIDDLE SCHOOL,Putnam,100.0,,BALDWIN PLACE RD
16,17,2.61401E+11,Public School,PITTSFORD MENDON H S,Monroe,100.0,,MENDON RD
17,18,4.613E+11,Public School,CHARLES E RILEY ELEM SCHOOL,Oswego,95.0,,BUNNER ST
18,20,6.60407E+11,Public School,LEE JACKSON SCHOOL,Westchester,99.0,,SARATOGA RD
19,21,5.80104E+11,Public School,DANIEL STREET SCHOOL,Suffolk,100.0,,DANIEL ST
20,23,6.80601E+11,Public School,PENN YAN ACADEMY,Yates,100.0,,COURT ST
21,24,5.80401E+11,Public School,JOHN H GLENN HS,Suffolk,100.0,,478 ELWOOD RD
22,25,1.406E+11,Public School,PS 301 BURGARD HIGH SCHOOL,Erie,99.0,,400 KENSINGTON AVE
23,26,5.80513E+11,Public School,FRANCIS J ONEILL SCHOOL,Suffolk,100.0,,CLAYTON ST
24,27,6.20601E+11,Private School,WOODCREST SCHOOL,Ulster,100.0,,RT 213
25,28,5.80801E+11,School District,SMITHTOWN CENTRAL SCHOOL DISTRICT,Suffolk,100.0,,26 NEW YORK AVE
26,29,5.00402E+11,Private School,YESHIVA TZOIN YOSEF PUPA (BOYS),Rockland,90.0,,15 WIDMAN CT
27,30,4.307E+11,Public School,GENEVA MIDDLE SCHOOL,Ontario,100.0,,101 CARTER RD SUITE 200
28,31,4.72506E+11,School District,WORCESTER CENTRAL SCHOOL,Otsego,100.0,,198 MAIN ST
29,32,043011020001,Public School,RANDOLPH ACADEMY RANDOLPH CAMPUS,Cattaraugus,100.0,,336 MAIN STREET ER
30,33,1.40601E+11,Private School,KING CENTER CHARTER SCHOOL,Erie,100.0,,938 GENESEE ST
31,34,6.622E+11,Public School,POST ROAD SCHOOL,Westchester,100.0,,175 W POST RD
32,35,4.20807E+11,Public School,C GRANT GRIMSHAW SCHOOL,Onondaga,100.0,,5957 US Route 20
33,36,2.80217E+11,Public School,POLK STREET SCHOOL,Nassau,100.0,,960 POLK AVE
34,37,031502060006,Public School,JOHNSON CITY SENIOR HIGH SCHOOL,Broome,100.0,,666 REYNOLDS RD
35,38,6.501E+11,BOCES School,WAYNE-FINGER LAKES BOCES - NEWARK EDUCATION CENTER,Wayne,99.0,,439 W. MAPLE AVE
36,39,3.10201E+11,Private School,QUAD PREPARATORY SCHOOL - LOWER,New York,100.0,,25 PINE STREET
37,40,2.616E+11,Private School,TALMUDICAL INST-UPSTATE N Y,Monroe,100.0,,769 PARK AVE
38,41,5.212E+11,Public School,MECHANICVILLE JR/SR HIGH SCHOOL,Saratoga,100.0,,25 KNISKERN AVE
39,42,4.91401E+11,School District,HOOSIC VALLEY CENTRAL SCHOOL,Rensselaer,100.0,,2 PLEASANT AVE
40,43,5.80201E+11,Public School,PAUL J GELINAS J H S,Suffolk,100.0,,25 MUD RD
41,44,5.00402E+11,Public School,EAST RAMAPO EARLY CHILDHOOD,Rockland,93.0,,105 S MADISON AVE
42,45,4.20412E+11,Private School,THE NEW SCHOOL,Onondaga,100.0,,5205 JAMESVILLE RD
43,46,4.41201E+11,Public School,SAPPHIRE ELEM SCHOOL,Orange,100.0,,159 HARRIMAN HEIGHTS
44,47,4.20807E+11,Public School,LA FAYETTE J S H S,Onondaga,100.0,,3122 US Route 11N
45,48,4.30301E+11,Private School,CALVARY CHAPEL CHRISTIAN SCHOOL,Ontario,100.0,,1777 RTE 332
46,49,4.00701E+11,Public School,NIAGARA WHEATFIELD S H S,Niagara,100.0,,2292 SAUNDERS STLMNT
47,50,2.80203E+11,Public School,WOODLAND J H S,Nassau,100.0,,690 WENWOOD DR
48,51,090501040000,School District,NORTHEASTERN CLINTON CENTRAL SCHOOL,Clinton,100.0,,103 ROUTE 276
49,52,1.41801E+11,Private School,OLV INTENSIVE TREATMENT PROGRAM,Erie,100.0,,650 RIDGE RD
50,53,1.31801E+11,Public School,CHANCELLOR LIVINGSTON ES,Dutchess,100.0,,48 KNOLLWOOD RD
51,54,6.623E+11,Public School,CROSS HILL ACADEMY,Westchester,100.0,,BOLMER AVE
52,55,3.314E+11,Private School,TALMUD TORAH DNITRA WYTHE AVE,Kings,100.0,,712 WYTHE AVE
53,56,5.123E+11,Public School,GRANT C MADILL ELEMENTARY SCHOOL,St.Lawrence,100.0,,JEFFERSON AVE
54,57,3.429E+11,Private School,ST CLARE SCHOOL,Queens,100.0,,137 25 BROOKVILLE BL
55,58,2.514E+11,Public School,DURHAMVILLE SCHOOL,Madison,100.0,,5462 MAIN STREET
56,59,3.32E+11,Private School,BETH JACOB H S,Kings,96.0,,4421 15TH AVE
57,60,2.80407E+11,Private School,NORTH SHORE HEBREW ACADEMY,Nassau,100.0,,16 CHERRY LN
58,61,4.60102E+11,School District,ALTMAR-PARISH-WILLIAMSTOWN CSD,Oswego,100.0,,639 COUNTY ROUTE 22
59,62,3.32E+11,Private School,TALMUD TORAH D RABINA YOEL,Kings,98.0,,5411 FT HAMILTON PKY
60,63,5.70603E+11,Public School,CAMPBELL JR SR HIGH SCHOOL,Steuben,100.0,,8455 COUNTY RT 125
61,64,010100996426,Private School,THE ALBANY ACADEMIES - 135,Albany,100.0,,135 ACADEMY ROAD
