State,School District or Name,County,Age Group,Old Rate,New Rate,Difference
AZ,CANYON DE CHELLY ELEMENTARY SCHOOL,APACHE,6TH GRADE,100.0,100.0,0.0
AZ,CANYON DE CHELLY ELEMENTARY SCHOOL,APACHE,KINDERGARTEN,100.0,100.0,0.0
AZ,CHINLE ELEMENTARY SCHOOL,APACHE,6TH GRADE,100.0,100.0,0.0
AZ,CHINLE ELEMENTARY SCHOOL,APACHE,KINDERGARTEN,100.0,100.0,0.0
AZ,CORONADO ELEMENTARY SCHOOL - APACHE,APACHE,KINDERGARTEN,60.78,53.7,-7.08
AZ,MANY FARMS PUBLIC SCHOOL - 86503,APACHE,6TH GRADE,100.0,100.0,0.0
AZ,MANY FARMS PUBLIC SCHOOL - 86503,APACHE,KINDERGARTEN,100.0,100.0,0.0
AZ,MESA VIEW ELEMENTARY,APACHE,6TH GRADE,100.0,100.0,0.0
AZ,MESA VIEW ELEMENTARY,APACHE,KINDERGARTEN,100.0,100.0,0.0
AZ,ROUND VALLEY INTERMEDIATE SCHOOL,APACHE,KINDERGARTEN,78.31,67.9,-10.41
AZ,SAINT JOHNS MIDDLE SCHOOL,APACHE,6TH GRADE,83.64,92.5,8.86
AZ,TSAILE ELEMENTARY SCHOOL,APACHE,6TH GRADE,100.0,100.0,0.0
AZ,TSAILE ELEMENTARY SCHOOL,APACHE,KINDERGARTEN,97.14,100.0,2.86
AZ,TSE HOOTSOOI PRIMARY LEARNING CENTER,APACHE,KINDERGARTEN,98.04,100.0,1.96
AZ,BELLA VISTA ELEMENTARY SCHOOL,COCHISE,6TH GRADE,95.35,97.4,2.05
AZ,BELLA VISTA ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,100.0,100.0,0.0
AZ,BENSON PRIMARY SCHOOL,COCHISE,KINDERGARTEN,80.25,78.3,-1.95
AZ,CARMICHAEL ELEMENTARY SCHOOL,COCHISE,6TH GRADE,97.14,96.7,-0.44
AZ,CARMICHAEL ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,97.87,93.8,-4.07
AZ,CENTER FOR ACADEMIC SUCCESS #3 - 3RD ST,COCHISE,KINDERGARTEN,86.84,88.2,1.36
AZ,CENTER FOR ACADEMIC SUCCESS #4 - F AVE,COCHISE,6TH GRADE,95.83,92.5,-3.33
AZ,CLAWSON SCHOOL,COCHISE,KINDERGARTEN,91.84,91.3,-0.54
AZ,COLONEL JOHNSTON ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,92.63,92.3,-0.33
AZ,COLONEL SMITH MIDDLE SCHOOL,COCHISE,6TH GRADE,97.33,99.1,1.77
AZ,CORONADO ELEMENTARY SCHOOL - COCHISE,COCHISE,6TH GRADE,94.34,88.9,-5.44
AZ,CORONADO ELEMENTARY SCHOOL - COCHISE,COCHISE,KINDERGARTEN,75.0,63.3,-11.7
AZ,HUACHUCA CITY ELEMENTARY SCHOOL,COCHISE,6TH GRADE,100.0,100.0,0.0
AZ,HUACHUCA CITY ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,93.33,100.0,6.67
AZ,HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,COCHISE,6TH GRADE,96.83,100.0,3.17
AZ,HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,93.18,100.0,6.82
AZ,JOE CARLSON ELEMENTARY SCHOOL,COCHISE,KINDERGARTEN,98.0,93.9,-4.1
AZ,LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,COCHISE,6TH GRADE,100.0,100.0,0.0
AZ,LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,COCHISE,KINDERGARTEN,95.38,100.0,4.62
AZ,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,COCHISE,6TH GRADE,100.0,100.0,0.0
AZ,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,COCHISE,KINDERGARTEN,88.0,92.9,4.9
AZ,LORETTO CATHOLIC SCHOOL,COCHISE,6TH GRADE,100.0,100.0,0.0
