State,Dataset,Bin,Count,Proportion
AZ,New,<50,18,0.0089
AZ,New,50-60,23,0.0114
AZ,New,60-70,41,0.0203
AZ,New,70-80,116,0.0576
AZ,New,80-85,139,0.069
AZ,New,85-86,46,0.0228
AZ,New,86-87,51,0.0253
AZ,New,87-88,60,0.0298
AZ,New,88-89,75,0.0372
AZ,New,89-90,68,0.0337
AZ,New,90-91,90,0.0447
AZ,New,91-92,94,0.0467
AZ,New,92-93,110,0.0546
AZ,New,93-94,123,0.061
AZ,New,94-95,133,0.066
AZ,New,95-96,161,0.0799
AZ,New,96-97,155,0.0769
AZ,New,97-98,132,0.0655
AZ,New,98-99,139,0.069
AZ,New,99-100,241,0.1196
AZ,Old,<50,26,0.0112
AZ,Old,50-60,34,0.0147
AZ,Old,60-70,57,0.0246
AZ,Old,70-80,127,0.0549
AZ,Old,80-85,153,0.0661
AZ,Old,85-86,51,0.022
AZ,Old,86-87,62,0.0268
AZ,Old,87-88,49,0.0212
AZ,Old,88-89,63,0.0272
AZ,Old,89-90,77,0.0333
AZ,Old,90-91,93,0.0402
AZ,Old,91-92,101,0.0436
AZ,Old,92-93,110,0.0475
AZ,Old,93-94,123,0.0532
AZ,Old,94-95,145,0.0627
AZ,Old,95-96,164,0.0709
AZ,Old,96-97,168,0.0726
AZ,Old,97-98,168,0.0726
AZ,Old,98-99,184,0.0795
AZ,Old,99-100,359,0.1551
CA,New,<50,85,0.0132
CA,New,50-60,20,0.0031
CA,New,60-70,18,0.0028
CA,New,70-80,39,0.0061
CA,New,80-85,29,0.0045
CA,New,85-86,8,0.0012
CA,New,86-87,20,0.0031
CA,New,87-88,13,0.002
CA,New,88-89,23,0.0036
CA,New,89-90,22,0.0034
CA,New,90-91,37,0.0058
CA,New,91-92,35,0.0054
CA,New,92-93,50,0.0078
CA,New,93-94,73,0.0113
CA,New,94-95,94,0.0146
CA,New,95-96,1297,0.2016
CA,New,96-97,217,0.0337
CA,New,97-98,422,0.0656
CA,New,98-99,2565,0.3987
CA,New,99-100,1367,0.2125
CA,Old,<50,84,0.0127
CA,Old,50-60,21,0.0032
CA,Old,60-70,24,0.0036
CA,Old,70-80,37,0.0056
CA,Old,80-85,48,0.0072
CA,Old,85-86,9,0.0014
CA,Old,86-87,19,0.0029
CA,Old,87-88,17,0.0026
CA,Old,88-89,25,0.0038
CA,Old,89-90,22,0.0033
CA,Old,90-91,36,0.0054
CA,Old,91-92,52,0.0079
CA,Old,92-93,71,0.0107
CA,Old,93-94,83,0.0125
CA,Old,94-95,133,0.0201
CA,Old,95-96,1380,0.2084
CA,Old,96-97,265,0.04
CA,Old,97-98,407,0.0615
CA,Old,98-99,2629,0.397
CA,Old,99-100,1261,0.1904
CO,New,<50,91,0.0185
CO,New,50-60,50,0.0102
CO,New,60-70,95,0.0193
CO,New,70-80,261,0.053
CO,New,80-85,328,0.0667
CO,New,85-86,104,0.0211
CO,New,86-87,91,0.0185
CO,New,87-88,134,0.0272
CO,New,88-89,135,0.0274
CO,New,89-90,119,0.0242
CO,New,90-91,192,0.039
CO,New,91-92,197,0.04
CO,New,92-93,260,0.0528
CO,New,93-94,306,0.0622
CO,New,94-95,302,0.0614
CO,New,95-96,386,0.0784
CO,New,96-97,439,0.0892
CO,New,97-98,442,0.0898
CO,New,98-99,258,0.0524
CO,New,99-100,731,0.1485
CO,Old,<50,56,0.0118
CO,Old,50-60,37,0.0078
CO,Old,60-70,92,0.0194
CO,Old,70-80,222,0.0469
CO,Old,80-85,298,0.0629
CO,Old,85-86,81,0.0171
CO,Old,86-87,90,0.019
CO,Old,87-88,109,0.023
CO,Old,88-89,121,0.0255
CO,Old,89-90,121,0.0255
CO,Old,90-91,211,0.0446
CO,Old,91-92,192,0.0405
CO,Old,92-93,246,0.0519
CO,Old,93-94,289,0.061
CO,Old,94-95,330,0.0697
CO,Old,95-96,397,0.0838
CO,Old,96-97,434,0.0916
CO,Old,97-98,431,0.091
CO,Old,98-99,276,0.0583
CO,Old,99-100,703,0.1484
CT,New,<50,0,0.0
CT,New,50-60,0,0.0
CT,New,60-70,2,0.0025
CT,New,70-80,6,0.0076
CT,New,80-85,4,0.0051
CT,New,85-86,1,0.0013
CT,New,86-87,1,0.0013
CT,New,87-88,2,0.0025
CT,New,88-89,0,0.0
CT,New,89-90,2,0.0025
CT,New,90-91,3,0.0038
CT,New,91-92,12,0.0153
CT,New,92-93,8,0.0102
CT,New,93-94,17,0.0216
CT,New,94-95,23,0.0293
CT,New,95-96,34,0.0433
CT,New,96-97,60,0.0763
CT,New,97-98,78,0.0992
CT,New,98-99,134,0.1705
CT,New,99-100,399,0.5076
CT,Old,<50,0,0.0
CT,Old,50-60,0,0.0
CT,Old,60-70,2,0.0025
CT,Old,70-80,7,0.0087
CT,Old,80-85,6,0.0075
CT,Old,85-86,3,0.0037
CT,Old,86-87,2,0.0025
CT,Old,87-88,3,0.0037
CT,Old,88-89,6,0.0075
CT,Old,89-90,4,0.005
CT,Old,90-91,8,0.0099
CT,Old,91-92,5,0.0062
CT,Old,92-93,14,0.0174
CT,Old,93-94,15,0.0186
CT,Old,94-95,23,0.0286
CT,Old,95-96,30,0.0373
CT,Old,96-97,55,0.0683
CT,Old,97-98,116,0.1441
CT,Old,98-99,146,0.1814
