State,Bin,Count (New),Count (Old),Proportion (New),Proportion (Old)
AZ,<50,18.0,26.0,0.0089,0.0112
AZ,50-60,23.0,34.0,0.0114,0.0147
AZ,60-70,41.0,57.0,0.0203,0.0246
AZ,70-80,116.0,127.0,0.0576,0.0549
AZ,80-85,139.0,153.0,0.069,0.0661
AZ,85-86,46.0,51.0,0.0228,0.022
AZ,86-87,51.0,62.0,0.0253,0.0268
AZ,87-88,60.0,49.0,0.0298,0.0212
AZ,88-89,75.0,63.0,0.0372,0.0272
AZ,89-90,68.0,77.0,0.0337,0.0333
AZ,90-91,90.0,93.0,0.0447,0.0402
AZ,91-92,94.0,101.0,0.0467,0.0436
AZ,92-93,110.0,110.0,0.0546,0.0475
AZ,93-94,123.0,123.0,0.061,0.0532
AZ,94-95,133.0,145.0,0.066,0.0627
AZ,95-96,161.0,164.0,0.0799,0.0709
AZ,96-97,155.0,168.0,0.0769,0.0726
AZ,97-98,132.0,168.0,0.0655,0.0726
AZ,98-99,139.0,184.0,0.069,0.0795
AZ,99-100,241.0,359.0,0.1196,0.1551
CA,<50,85.0,84.0,0.0132,0.0127
CA,50-60,20.0,21.0,0.0031,0.0032
CA,60-70,18.0,24.0,0.0028,0.0036
CA,70-80,39.0,37.0,0.0061,0.0056
CA,80-85,29.0,48.0,0.0045,0.0072
CA,85-86,8.0,9.0,0.0012,0.0014
CA,86-87,20.0,19.0,0.0031,0.0029
CA,87-88,13.0,17.0,0.002,0.0026
CA,88-89,23.0,25.0,0.0036,0.0038
CA,89-90,22.0,22.0,0.0034,0.0033
CA,90-91,37.0,36.0,0.0058,0.0054
CA,91-92,35.0,52.0,0.0054,0.0079
CA,92-93,50.0,71.0,0.0078,0.0107
CA,93-94,73.0,83.0,0.0113,0.0125
CA,94-95,94.0,133.0,0.0146,0.0201
CA,95-96,1297.0,1380.0,0.2016,0.2084
CA,96-97,217.0,265.0,0.0337,0.04
CA,97-98,422.0,407.0,0.0656,0.0615
CA,98-99,2565.0,2629.0,0.3987,0.397
CA,99-100,1367.0,1261.0,0.2125,0.1904
CO,<50,91.0,56.0,0.0185,0.0118
CO,50-60,50.0,37.0,0.0102,0.0078
CO,60-70,95.0,92.0,0.0193,0.0194
CO,70-80,261.0,222.0,0.053,0.0469
CO,80-85,328.0,298.0,0.0667,0.0629
CO,85-86,104.0,81.0,0.0211,0.0171
CO,86-87,91.0,90.0,0.0185,0.019
CO,87-88,134.0,109.0,0.0272,0.023
CO,88-89,135.0,121.0,0.0274,0.0255
CO,89-90,119.0,121.0,0.0242,0.0255
CO,90-91,192.0,211.0,0.039,0.0446
CO,91-92,197.0,192.0,0.04,0.0405
CO,92-93,260.0,246.0,0.0528,0.0519
CO,93-94,306.0,289.0,0.0622,0.061
CO,94-95,302.0,330.0,0.0614,0.0697
CO,95-96,386.0,397.0,0.0784,0.0838
CO,96-97,439.0,434.0,0.0892,0.0916
CO,97-98,442.0,431.0,0.0898,0.091
CO,98-99,258.0,276.0,0.0524,0.0583
CO,99-100,731.0,703.0,0.1485,0.1484
CT,<50,0.0,0.0,0.0,0.0
CT,50-60,0.0,0.0,0.0,0.0
CT,60-70,2.0,2.0,0.0025,0.0025
CT,70-80,6.0,7.0,0.0076,0.0087
CT,80-85,4.0,6.0,0.0051,0.0075
CT,85-86,1.0,3.0,0.0013,0.0037
CT,86-87,1.0,2.0,0.0013,0.0025
CT,87-88,2.0,3.0,0.0025,0.0037
CT,88-89,0.0,6.0,0.0,0.0075
CT,89-90,2.0,4.0,0.0025,0.005
