"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Andover Elementary School","Public","35 School Rd.","Andover","06232","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Assumption-Ansonia","Non-public","51 North Cliff Street","Ansonia","06401","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mead School","Public","75 Ford St.","Ansonia","06401","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Prendergast School","Public","59 Finney St.","Ansonia","06401","Naugatuck Valley","100","100","97.7","100","97.7","100","96.6","0","0","0"
"Ashford School","Public","440 Westford Rd.","Ashford","06278","Northeast CT","97.4","97.4","97.4","97.4","97.4","97.4","97.4","0","2.6","2.6"
"Farmington Valley Academy Montessori","Public","150 Fisher Drive","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Pine Grove School","Public","151 Scoville Rd.","Avon","06001","Capitol","100","100","100","100","100","100","100","0","0","0"
"Reggio Magnet School of the Arts","Non-public","59 Waterville Road","Avon","06001","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Roaring Brook School","Public","30 Old Wheeler Ln.","Avon","06001","Capitol","98.9","98.9","98.9","98.9","98.9","98.9","98.9","0","1.1","1.1"
"Talcott Mt. Academy of Science Math & Technology","Non-public","324 Montevideo Road","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Barkhamsted Elementary School","Public","65 Ripley Hill Rd.","Barkhamsted","06063","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Laurel Ledge School","Public","30 Highland Ave.","Beacon Falls","06403","Naugatuck Valley","98.2","98.2","98.2","98.2","98.2","98.2","98.2","0","1.8","1.8"
"Emma Hart Willard School","Public","1088 Norton Rd.","Berlin","06037","Capitol","100","100","100","100","100","100","100","0","0","0"
"Mary E. Griswold School","Public","133 Heather Ln.","Berlin","06037","Capitol","100","100","100","100","100","100","100","0","0","0"
"Prism Academy","Non-public","166 Lincoln Street","Berlin","06037","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Richard D. Hubbard School","Public","139 Grove St.","Berlin","06023","Capitol","100","100","100","96.8","100","100","96.8","0","0","0"
"St. Paul School","Non-public","461 Alling Street","Berlin","06037","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bethany Community School","Public","44 Peck Road","Bethany","06524","South Central","93.9","93.9","93.9","93.9","93.9","93.9","93.9","0","4.1","4.1"
"Anna H. Rockwell School","Public","400 Whittlesey Dr.","Bethel","06801","Western CT","98.9","98.9","100","100","100","100","98.9","0","0","0"
"Frank A. Berry School","Public","200 Whittlesey Dr.","Bethel","06801","Western CT","98.9","98.9","100","98.9","100","98.9","98.9","0","0","0"
"Guide Academy","Public","49 Katrina Circle","Bethel","06801","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Mary School-Bethel","Non-public","24 Dodgingtown Road","Bethel","06801","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bethlehem Elementary School","Public","92 East St.","Bethlehem","06751","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ana Grace Academy of the Arts PK-5","Public","129 Griffin Road North","Bloomfield","06002","Capitol","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0","1.5","1.5"
"Laurel Literacy Academy","Public","1 Filley St.","Bloomfield","06002","Capitol","100","100","100","98.8","100","100","98.8","0","0","0"
