"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Ansonia Middle School","Public","115 Howard Ave.","Ansonia","06401","Naugatuck Valley","98.3","98.3","98.9","98.9","98.9","97.7","86.8","86.2","84.5","0.6","0.6","1.1"
"Assumption-Ansonia","Non-public","51 North Cliff Street","Ansonia","06401","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ashford School","Public","440 Westford Rd.","Ashford","06278","Northeast CT","96.1","96.1","96.1","96.1","96.1","92.2","96.1","96.1","92.2","3.9","0.0","3.9"
"Avon Middle School","Public","375 West Avon Rd.","Avon","06001","Capitol","97.9","98.4","96.3","98.4","95.9","97.9","98.4","97.9","93.8","1.6","0.0","1.6"
"Farmington Valley Academy Montessori","Public","150 Fisher Drive","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Talcott Mt. Academy of Science Math & Technology","Non-public","324 Montevideo Road","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Webb School in the Valley","Non-public","135 Darling Drive","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catherine M. McGee Middle School","Public","899 Norton Rd.","Berlin","06037","Capitol","95.0","95.5","95.5","95.0","95.0","95.0","95.0","95.5","95.0","4.5","0.0","4.5"
"Prism Academy","Non-public","166 Lincoln Street","Berlin","06037","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Paul School","Non-public","461 Alling Street","Berlin","06037","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Amity Middle School: Bethany","Public","190 Luke Hill Rd.","Bethany","06524","South Central","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","2.6","0.0","2.6"
"Bethel Middle School","Public","600 Whittlesey Dr.","Bethel","06801","Western CT","95.8","95.8","95.8","95.8","95.8","95.8","95.3","94.9","94.9","3.4","0.8","4.2"
"St. Mary School-Bethel","Non-public","24 Dodgingtown Road","Bethel","06801","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Academy of International Studies 6-12","Non-public","1551 Blue Hills Ave.","Bloomfield","06002","Capitol","91.7","96.3","93.5","95.4","93.5","93.5","84.3","87.0","80.6","1.9","1.9","3.7"
"Ana Grace Academy of the Arts 6-8","Public","129 Griffin Road North","Bloomfield","06002","Capitol","98.2","98.2","98.2","98.2","98.2","98.2","97.3","97.3","97.3","1.8","0.0","1.8"
"Carmen Arace","Public","390 Park Avenue","Bloomfield","06002","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Global Experience Magnet School","Public","44 Griffin Rd., South","Bloomfield","06002","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"River Street School Birken Campus","Public","1289 Blue Hills Avenue","Bloomfield","06002","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bolton Center School","Public","108 Notch Rd.","Bolton","06043","Capitol","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","3.8","0.0","3.8"
"Fields Memorial School","Public","8 Bozrah St. Ext.","Bozrah","06334","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"East Shoreline Catholic Academy","Non-public","62 Cedar Street","Branford","06405","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Francis Walsh Intermediate School","Public","185 Damascus Rd.","Branford","06405","South Central","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","0.5","0.0","0.5"
"Adam J. Lewis Academy","Non-public","500 State St.","Bridgeport","06604","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
