"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Adams","Adams Co Christian Academy","Kindergarten","2","","","","","","","","","","","","","","","",""
"Adams","Adams Co Christian Academy","7th Grade","3","","","","","","","","","","","","","","","",""
"Adams","Adams Co Christian Academy","12th Grade","2","","","","","","","","","","","","","","","",""
"Adams","Alloway Creek El Sch","Kindergarten","121","95.0%","90.9%","92.6%","90.9%","0.0%","91.7%","","","","","0.0%","7.4%","0.8%","1.7%","0.0%","0.0%"
"Adams","Bermudian Springs El Sch","Kindergarten","116","90.5%","90.5%","91.4%","92.2%","0.0%","91.4%","","","","","0.0%","5.2%","3.4%","1.7%","0.0%","0.0%"
"Adams","Bermudian Springs HS","12th Grade","152","94.1%","94.1%","93.4%","92.1%","0.0%","94.1%","93.4%","","92.1%","0.0%","2.6%","1.3%","6.6%","0.0%","0.0%","0.0%"
"Adams","Bermudian Springs MS","7th Grade","141","93.6%","93.6%","92.9%","93.6%","0.0%","90.8%","90.1%","89.4%","","","0.7%","1.4%","9.2%","0.0%","0.0%","1.4%"
"Adams","Biglerville El Sch","Kindergarten","95","91.6%","92.6%","93.7%","100.0%","0.0%","92.6%","","","","","0.0%","4.2%","2.1%","3.2%","0.0%","0.0%"
"Adams","Biglerville HS","12th Grade","129","96.9%","96.9%","96.9%","96.9%","0.0%","96.9%","94.6%","","0.8%","90.7%","0.0%","4.7%","3.1%","0.0%","3.1%","0.0%"
"Adams","Breezy Acres","Kindergarten","2","","","","","","","","","","","","","","","",""
"Adams","Conewago Twp El Sch","Kindergarten","110","90.9%","90.9%","91.8%","94.5%","91.8%","0.0%","","","","","0.0%","7.3%","0.9%","0.9%","0.0%","0.0%"
"Adams","Delone Catholic High School","12th Grade","88","100.0%","98.9%","96.6%","98.9%","1.1%","96.6%","100.0%","","2.3%","94.3%","1.1%","6.8%","0.0%","0.0%","0.0%","0.0%"
