Facility Number,County
D0101,Neosho
D0102,Gray
D0103,Cheyenne
D0105,Rawlins
D0106,Ness
D0107,Jewell
D0108,Washington
D0109,Republic
D0110,Smith
D0111,Doniphan
D0112,Barton
D0113,Nemaha
D0114,Doniphan
D0115,Nemaha
D0200,Greeley
D0202,Wyandotte
D0203,Wyandotte
D0204,Wyandotte
D0205,Butler
D0206,Butler
D0207,Leavenworth
D0208,Trego
D0209,Stevens
D0210,Stevens
D0211,Norton
D0212,Norton
D0214,Grant
D0215,Kearny
D0216,Kearny
D0217,Morton
D0218,Morton
D0219,Clark
D0220,Clark
D0223,Washington
D0224,Cloud
D0225,Meade
D0226,Meade
D0227,Hodgeman
D0229,Johnson
D0230,Johnson
D0231,Johnson
D0232,Johnson
D0233,Johnson
D0234,Bourbon
D0235,Bourbon
D0237,Smith
D0239,Ottawa
D0240,Ottawa
D0241,Wallace
D0242,Wallace
D0243,Coffey
D0244,Coffey
D0245,Coffey
D0246,Crawford
D0247,Crawford
D0248,Crawford
D0249,Crawford
D0250,Crawford
D0251,Lyon
D0252,Lyon
D0253,Lyon
D0254,Barber
D0255,Barber
D0256,Allen
D0257,Allen
D0258,Allen
D0259,Sedgwick
D0260,Sedgwick
D0261,Sedgwick
D0262,Sedgwick
D0263,Sedgwick
D0264,Sedgwick
D0265,Sedgwick
D0266,Sedgwick
D0267,Sedgwick
D0268,Sedgwick
D0269,Rooks
D0270,Rooks
D0271,Rooks
D0272,Mitchell
D0273,Mitchell
D0274,Logan
D0275,Logan
D0281,Graham
D0282,Elk
D0283,Elk
D0284,Chase
D0285,Chautauqua
D0286,Chautauqua
D0287,Franklin
D0288,Franklin
D0289,Franklin
D0290,Franklin
D0291,Gove
D0292,Gove
D0293,Gove
D0294,Decatur
D0297,Cheyenne
D0298,Lincoln
D0299,Lincoln
D0300,Comanche
D0303,Ness
D0305,Saline
D0306,Saline
D0307,Saline
D0308,Reno
D0309,Reno
D0310,Reno
D0311,Reno
D0312,Reno
D0313,Reno
D0314,Thomas
D0315,Thomas
D0316,Sheridan
D0320,Pottawatomie
D0321,Pottawatomie
D0322,Pottawatomie
D0323,Pottawatomie
D0325,Phillips
D0326,Phillips
D0327,Ellsworth
D0329,Wabaunsee
D0330,Wabaunsee
D0331,Kingman
D0332,Kingman
D0333,Cloud
D0334,Cloud
D0335,Jackson
D0336,Jackson
D0337,Jackson
D0338,Jefferson
D0339,Jefferson
D0340,Jefferson
D0341,Jefferson
D0342,Jefferson
D0343,Jefferson
D0344,Linn
D0345,Shawnee
D0346,Linn
D0347,Edwards
D0348,Douglas
D0349,Stafford
D0350,Stafford
D0351,Stafford
D0352,Sherman
D0353,Sumner
D0355,Barton
D0356,Sumner
D0357,Sumner
D0358,Sumner
D0359,Sumner
D0360,Sumner
D0361,Harper
D0362,Linn
D0363,Finney
D0364,Marshall
D0365,Anderson
D0366,Woodson
D0367,Miami
D0368,Miami
D0369,Harvey
D0371,Gray
D0372,Shawnee
D0373,Harvey
D0374,Haskell
D0375,Butler
D0376,Rice
D0377,Atchison
D0378,Riley
D0379,Clay
D0380,Marshall
D0381,Ford
D0382,Pratt
D0383,Riley
D0384,Riley
D0385,Butler
D0386,Greenwood
D0387,Wilson
D0388,Ellis
D0389,Greenwood
D0390,Greenwood
D0392,Osborne
D0393,Dickinson
D0394,Butler
D0395,Rush
D0396,Butler
D0397,Marion
D0398,Marion
D0399,Osborne
D0400,McPherson
D0401,Rice
D0402,Butler
D0403,Rush
D0404,Cherokee
D0405,Rice
D0407,Russell
D0408,Marion
D0409,Atchison
D0410,Marion
D0411,Marion
D0412,Sheridan
D0413,Neosho
D0415,Brown
D0416,Miami
D0417,Morris
D0418,McPherson
D0419,McPherson
D0420,Osage
D0421,Osage
D0422,Kiowa
D0423,McPherson
D0426,Republic
D0428,Barton
D0429,Doniphan
D0430,Brown
D0431,Barton
D0432,Ellis
D0434,Osage
D0435,Dickinson
D0436,Montgomery
D0437,Shawnee
D0438,Pratt
D0439,Harvey
D0440,Harvey
D0443,Ford
D0444,Rice
D0445,Montgomery
D0446,Montgomery
D0447,Montgomery
D0448,McPherson
D0449,Leavenworth
D0450,Shawnee
D0452,Stanton
D0453,Leavenworth
D0454,Osage
D0456,Osage
D0457,Finney
D0458,Leavenworth
D0459,Ford
D0460,Harvey
D0461,Wilson
D0462,Cowley
D0463,Cowley
D0464,Leavenworth
D0465,Cowley
D0466,Scott
D0467,Wichita
D0468,Lane
D0469,Leavenworth
D0470,Cowley
D0471,Cowley
D0473,Dickinson
D0474,Kiowa
D0475,Geary
D0476,Gray
D0477,Gray
D0479,Anderson
D0480,Seward
D0481,Morris
D0482,Lane
D0483,Seward
D0484,Wilson
D0487,Dickinson
D0489,Ellis
D0490,Butler
D0491,Douglas
D0492,Butler
D0493,Cherokee
D0494,Hamilton
D0495,Pawnee
