,Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
0,,Private,AUTAUGA ACADEMY,,AUTAUGA,66.67,Fourth Grade
1,,Private,AUTAUGA ACADEMY,,AUTAUGA,81.82,Kindergarten
2,,Private,AUTAUGA ACADEMY,,AUTAUGA,85.71,Eighth Grade
3,,Private,AUTAUGA ACADEMY,,AUTAUGA,88.89,Eleventh Grade
4,,Private,AUTAUGA ACADEMY,,AUTAUGA,92.86,First Grade
5,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Third Grade
6,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Fifth Grade
7,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Sixth Grade
8,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Seventh Grade
9,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Ninth Grade
10,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Tenth Grade
11,,Private,AUTAUGA ACADEMY,,AUTAUGA,100.0,Twelfth Grade
12,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,95.45,Second Grade
13,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,95.65,Kindergarten
14,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,First Grade
15,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Third Grade
16,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Fourth Grade
17,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Fifth Grade
18,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Sixth Grade
19,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Seventh Grade
20,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Eighth Grade
21,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Ninth Grade
22,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Tenth Grade
23,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Eleventh Grade
24,,Public,AUTAUGAVILLE SCHOOL,,AUTAUGA,100.0,Twelfth Grade
25,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,93.88,Second Grade
26,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,95.45,First Grade
27,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,96.0,Kindergarten
28,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,96.67,Twelfth Grade
29,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.22,Ninth Grade
30,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.37,Tenth Grade
31,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.56,Third Grade
32,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,97.62,Eleventh Grade
33,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Fourth Grade
34,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Fifth Grade
35,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Sixth Grade
36,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Seventh Grade
37,,Public,BILLINGSLEY HIGH SCHOOL,,AUTAUGA,100.0,Eighth Grade
38,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,96.34,Second Grade
39,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,97.57,Third Grade
40,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.17,First Grade
41,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.31,Fourth Grade
42,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,98.31,Fifth Grade
43,,Public,DANIEL PRATT ELEMENTARY SCHOOL,,AUTAUGA,99.38,Sixth Grade
44,,Private,FIRST BAPTIST PRESCHOOL & KINDERGAR,,AUTAUGA,73.91,Kindergarten
45,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,97.78,Ninth Grade
46,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,99.35,Eleventh Grade
47,,Public,MARBURY HIGH SCHOOL,,AUTAUGA,100.0,Tenth Grade
48,,Public,MARBURY MIDDLE SCHOOL,,AUTAUGA,98.39,Sixth Grade
49,,Public,MARBURY MIDDLE SCHOOL,,AUTAUGA,99.3,Seventh Grade
50,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,94.57,First Grade
51,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,94.9,Kindergarten
52,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,95.63,Second Grade
53,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,97.26,Third Grade
54,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,97.52,Fourth Grade
55,,Public,PINE LEVEL ELEMENTARY SCHOOL,,AUTAUGA,100.0,Fifth Grade
56,,Public,PRATTVILLE ELEMENTARY SCHOOL,,AUTAUGA,98.18,Third Grade
57,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,97.71,Eleventh Grade
58,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,98.33,Ninth Grade
59,,Public,PRATTVILLE HIGH SCHOOL,,AUTAUGA,98.66,Tenth Grade
60,,Public,PRATTVILLE INTERMEDIATE SCHOOL,,AUTAUGA,99.0,Sixth Grade
61,,Public,PRATTVILLE INTERMEDIATE SCHOOL,,AUTAUGA,99.31,Fifth Grade
62,,Public,PRATTVILLE JUNIOR HIGH SCHOOL,,AUTAUGA,98.14,Eighth Grade
63,,Public,PRATTVILLE JUNIOR HIGH SCHOOL,,AUTAUGA,99.21,Seventh Grade
64,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,75.0,Third Grade
65,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,84.62,First Grade
66,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,91.03,Second Grade
67,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,94.33,Kindergarten
68,,Public,PRATTVILLE KINDERGARTEN SCHOOL,,AUTAUGA,100.0,Fourth Grade
69,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,97.74,Second Grade
70,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,98.73,First Grade
71,,Public,PRATTVILLE PRIMARY SCHOOL,,AUTAUGA,100.0,Kindergarten
72,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,98.48,Eleventh Grade
73,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,98.73,Twelfth Grade
74,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,99.13,Tenth Grade
75,,Public,BALDWIN COUNTY HIGH SCHOOL,,BALDWIN,99.57,Ninth Grade
76,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,85.0,Tenth Grade
77,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,87.5,Ninth Grade
78,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,97.67,Eleventh Grade
79,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Seventh Grade
80,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Eighth Grade
81,,Public,BALDWIN COUNTY VIRTUAL SCHOOL,,BALDWIN,100.0,Twelfth Grade
82,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,95.83,Eleventh Grade
83,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.15,Ninth Grade
84,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.67,Eighth Grade
85,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.77,Tenth Grade
86,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,96.88,Twelfth Grade
87,,Public,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,,BALDWIN,100.0,Seventh Grade
88,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,50.0,Twelfth Grade
89,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,98.25,Tenth Grade
90,,Public,BALDWIN PREPARATORY ACADEMY,,BALDWIN,99.56,Eleventh Grade
91,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,96.74,Kindergarten
92,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,99.15,First Grade
93,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Second Grade
94,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Third Grade
95,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Fourth Grade
96,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Fifth Grade
97,,Public,BAY MINETTE ELEMENTARY SCHOOL,,BALDWIN,100.0,Sixth Grade
98,,Public,BAY MINETTE MIDDLE SCHOOL,,BALDWIN,99.15,Eighth Grade
99,,Public,BAY MINETTE MIDDLE SCHOOL,,BALDWIN,99.45,Seventh Grade
100,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,52.17,Kindergarten
101,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,66.04,First Grade
102,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,75.0,Eleventh Grade
103,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,84.38,Tenth Grade
104,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,85.25,Third Grade
105,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,85.71,Seventh Grade
106,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,86.84,Fourth Grade
107,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,87.18,Second Grade
108,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,91.11,Eighth Grade
109,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,91.18,Ninth Grade
110,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,94.74,Sixth Grade
111,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,97.22,Fifth Grade
112,,Private,BAYSHORE CHRISTIAN SCHOOL,,BALDWIN,100.0,Twelfth Grade
113,,Private,BAYSIDE ACADEMY,,BALDWIN,92.59,Kindergarten
114,,Private,BAYSIDE ACADEMY,,BALDWIN,94.74,Fifth Grade
115,,Private,BAYSIDE ACADEMY,,BALDWIN,95.16,Eleventh Grade
116,,Private,BAYSIDE ACADEMY,,BALDWIN,95.83,Tenth Grade
117,,Private,BAYSIDE ACADEMY,,BALDWIN,96.3,Third Grade
