Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,MARICOPA,PRIVATE,80.00,6th Grade
,ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,MARICOPA,PUBLIC,95.00,6th Grade
,ACACIA ELEMENTARY SCHOOL - PHOENIX,3021 W EVANS DR,MARICOPA,PUBLIC,97.50,6th Grade
,ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,PIMA,CHARTER,100.00,6th Grade
,ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,PIMA,CHARTER,100.00,6th Grade
,ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,MARICOPA,CHARTER,95.49,6th Grade
,ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,PIMA,CHARTER,93.59,6th Grade
,ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,MARICOPA,CHARTER,97.09,6th Grade
,ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,MARICOPA,CHARTER,95.24,6th Grade
,ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,MARICOPA,CHARTER,95.69,6th Grade
,ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,MARICOPA,CHARTER,97.10,6th Grade
,ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,MARICOPA,CHARTER,92.23,6th Grade
,ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,PIMA,CHARTER,85.42,6th Grade
,ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,MARICOPA,CHARTER,100.00,6th Grade
,ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,YAVAPAI,CHARTER,88.33,6th Grade
,ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MARICOPA,PUBLIC,95.56,6th Grade
,ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,MARICOPA,CHARTER,90.38,6th Grade
,ADVENTURE SCHOOL - E PLACITA SIN NOMBRE,5757 E PIMA ST,PIMA,CHARTER,75.00,6th Grade
,AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,PIMA,PUBLIC,97.37,6th Grade
,AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,MARICOPA,PUBLIC,100.00,6th Grade
