Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
138867,Public,Hayward Collegiate Charter,,Alameda,95.0,Kindergarten
123968,Public,Community School For Creative Education,,Alameda,95.0,Kindergarten
6001788,Public,Cox Academy,,Alameda,98.0,Kindergarten
6002000,Public,Lazear Charter Academy,,Alameda,98.0,Kindergarten
125567,Public,Urban Montessori Charter,,Alameda,97.0,Kindergarten
124172,Public,Yu Ming Charter,,Alameda,99.0,Kindergarten
136101,Public,Connecting Waters Charter - East Bay,,Alameda,75.0,Kindergarten
6100374,Public,Amelia Earhart Elementary,,Alameda,98.0,Kindergarten
6110779,Public,Bay Farm,,Alameda,99.0,Kindergarten
6090013,Public,Edison Elementary,,Alameda,98.0,Kindergarten
6090021,Public,Frank Otis Elementary,,Alameda,98.0,Kindergarten
6090039,Public,Franklin Elementary Alameda,,Alameda,98.0,Kindergarten
6090047,Public,Love Elementary,,Alameda,99.0,Kindergarten
139220,Public,Maya Lin,,Alameda,98.0,Kindergarten
119222,Public,Nea Community Learning Center,,Alameda,98.0,Kindergarten
111765,Public,Ruby Bridges Elementary,,Alameda,98.0,Kindergarten
122085,Public,The Academy Of Alameda,,Alameda,98.0,Kindergarten
6090120,Public,William G. Paden Elementary,,Alameda,98.0,Kindergarten
6090146,Public,Cornell Elementary,,Alameda,98.0,Kindergarten
6095376,Public,Marin Elementary,,Alameda,99.0,Kindergarten
6116222,Public,Ocean View Elementary,,Alameda,99.0,Kindergarten
6097729,Public,Berkeley Arts Magnet At Whittier,,Alameda,98.0,Kindergarten
6090195,Public,Cragmont Elementary,,Alameda,97.0,Kindergarten
6090211,Public,Emerson Elementary Berkeley,,Alameda,98.0,Kindergarten
6105316,Public,John Muir Elementary,,Alameda,95.0,Kindergarten
6090286,Public,Malcolm X Elementary,,Alameda,98.0,Kindergarten
6090302,Public,Oxford Elementary At West Campus,,Alameda,95.0,Kindergarten
6090187,Public,Rosa Parks Environmental Science,,Alameda,98.0,Kindergarten
6090252,Public,Ruth Acty Elementary,,Alameda,98.0,Kindergarten
6090278,Public,Sylvia Mendez Elementary,,Alameda,98.0,Kindergarten
6090310,Public,Thousand Oaks Elementary,,Alameda,98.0,Kindergarten
6090328,Public,Washington Elementary Berkeley,,Alameda,98.0,Kindergarten
6090351,Public,Castro Valley Elementary,,Alameda,99.0,Kindergarten
6090369,Public,Chabot Elementary Castro Valley,,Alameda,98.0,Kindergarten
6090393,Public,Independent Elementary,,Alameda,99.0,Kindergarten
6113005,Public,Jensen Ranch Elementary,,Alameda,98.0,Kindergarten
6090401,Public,Marshall Elementary,,Alameda,98.0,Kindergarten
6090419,Public,Palomares Elementary,,Alameda,95.0,Kindergarten
6090435,Public,Proctor Elementary,,Alameda,98.0,Kindergarten
6090468,Public,Stanton Elementary,,Alameda,98.0,Kindergarten
6090484,Public,Vannoy Elementary,,Alameda,99.0,Kindergarten
136929,Public,Cottonwood Creek,,Alameda,99.0,Kindergarten
6001374,Public,Dublin Elementary,,Alameda,99.0,Kindergarten
6001390,Public,Frederiksen Elementary,,Alameda,99.0,Kindergarten
123935,Public,Harold William Kolb,,Alameda,99.0,Kindergarten
131615,Public,J. M. Amador Elementary,,Alameda,99.0,Kindergarten
6118038,Public,James Dougherty Elementary,,Alameda,99.0,Kindergarten
114579,Public,John Green Elementary,,Alameda,99.0,Kindergarten
6001424,Public,Murray Elementary,,Alameda,99.0,Kindergarten
6090492,Public,Anna Yates Elementary,,Alameda,98.0,Kindergarten
6104723,Public,Ardenwood Elementary,,Alameda,99.0,Kindergarten
6000558,Public,Brier Elementary,,Alameda,99.0,Kindergarten
6089320,Public,Brookvale Elementary,,Alameda,98.0,Kindergarten
6000566,Public,Cabrillo Elementary,,Alameda,95.0,Kindergarten
6000590,Public,E. M. Grimmer Elementary,,Alameda,98.0,Kindergarten
6111330,Public,Forest Park Elementary,,Alameda,98.0,Kindergarten
6106983,Public,Fred E. Weibel Elementary,,Alameda,95.0,Kindergarten
6000624,Public,Glenmoor Elementary,,Alameda,99.0,Kindergarten
6000640,Public,Harvey Green Elementary,,Alameda,98.0,Kindergarten
6000665,Public,J. Haley Durham Elementary,,Alameda,99.0,Kindergarten
6000673,Public,James Leitch Elementary,,Alameda,99.0,Kindergarten
6000541,Public,John Blacow Elementary,,Alameda,99.0,Kindergarten
6000723,Public,John G. Mattos Elementary,,Alameda,95.0,Kindergarten
6066468,Public,John Gomes Elementary,,Alameda,98.0,Kindergarten
6000681,Public,Joseph Azevada Elementary,,Alameda,98.0,Kindergarten
6090526,Public,Joshua Chadbourne Elementary,,Alameda,98.0,Kindergarten
138982,Public,Lila Bringhurst Elementary,,Alameda,99.0,Kindergarten
6090534,Public,Mission San Jose Elementary,,Alameda,98.0,Kindergarten
6000749,Public,Mission Valley Elementary,,Alameda,95.0,Kindergarten
6000756,Public,Niles Elementary,,Alameda,98.0,Kindergarten
6000764,Public,O. N. Hirsch Elementary,,Alameda,95.0,Kindergarten
6090542,Public,Oliveira Elementary,,Alameda,99.0,Kindergarten
6000798,Public,Parkmont Elementary,,Alameda,99.0,Kindergarten
6000806,Public,Patterson Elementary,,Alameda,99.0,Kindergarten
6090559,Public,Steven Millard Elementary,,Alameda,98.0,Kindergarten
6000715,Public,Tom Maloney Elementary,,Alameda,99.0,Kindergarten
6000830,Public,Vallejo Mill Elementary,,Alameda,98.0,Kindergarten
6089619,Public,Warwick Elementary,,Alameda,99.0,Kindergarten
6000905,Public,Burbank Elementary,,Alameda,99.0,Kindergarten
6000913,Public,Cherryland Elementary,,Alameda,99.0,Kindergarten
6000921,Public,East Avenue Elementary,,Alameda,98.0,Kindergarten
6090583,Public,Eden Gardens Elementary,,Alameda,98.0,Kindergarten
6000947,Public,Eldridge Elementary,,Alameda,95.0,Kindergarten
6000962,Public,Fairview Elementary,,Alameda,99.0,Kindergarten
6000988,Public,Glassbrook Elementary,,Alameda,98.0,Kindergarten
6000996,Public,Harder Elementary,,Alameda,98.0,Kindergarten
127696,Public,Knowledge Enlightens You (Key) Academy,,Alameda,98.0,Kindergarten
6001044,Public,Longwood Elementary,,Alameda,96.0,Kindergarten
6001051,Public,Lorin A. Eden Elementary,,Alameda,95.0,Kindergarten
6001093,Public,Palma Ceia Elementary,,Alameda,96.0,Kindergarten
6001101,Public,Park Elementary,,Alameda,98.0,Kindergarten
6001127,Public,Ruus Elementary,,Alameda,98.0,Kindergarten
6001135,Public,Schafer Park Elementary,,Alameda,98.0,Kindergarten
6001176,Public,Southgate Elementary,,Alameda,98.0,Kindergarten
111815,Public,Stonebrae Elementary,,Alameda,98.0,Kindergarten
6001192,Public,Treeview Elementary,,Alameda,98.0,Kindergarten
6104566,Public,Tyrrell Elementary,,Alameda,98.0,Kindergarten
6117543,Public,Altamont Creek Elementary,,Alameda,98.0,Kindergarten
6071906,Public,Arroyo Seco Elementary,,Alameda,99.0,Kindergarten
6001259,Public,Emma C. Smith Elementary,,Alameda,97.0,Kindergarten
6001283,Public,Jackson Avenue Elementary,,Alameda,98.0,Kindergarten
6001291,Public,Joe Michell,,Alameda,98.0,Kindergarten
6001234,Public,Junction K-8,,Alameda,98.0,Kindergarten
135376,Public,Lawrence Elementary,,Alameda,99.0,Kindergarten
6110332,Public,Leo R. Croce Elementary,,Alameda,97.0,Kindergarten
6001317,Public,Marylin Avenue Elementary,,Alameda,98.0,Kindergarten
6089338,Public,Rancho Las Positas Elementary,,Alameda,99.0,Kindergarten
6097661,Public,Sunset Elementary,,Alameda,99.0,Kindergarten
6001606,Public,Hillview Crest Elementary,,Alameda,98.0,Kindergarten
6001572,Public,Alvarado Elementary,,Alameda,98.0,Kindergarten
6118525,Public,Delaine Eastin Elementary,,Alameda,99.0,Kindergarten
6115554,Public,Guy Jr. Emanuele Elementary,,Alameda,99.0,Kindergarten
6101604,Public,Pioneer Elementary,,Alameda,99.0,Kindergarten
6001622,Public,Searles Elementary,,Alameda,97.0,Kindergarten
6115505,Public,Tom Kitayama Elementary,,Alameda,99.0,Kindergarten
6001440,Public,August Schilling Elementary,,Alameda,99.0,Kindergarten
6001499,Public,Birch Grove Primary,,Alameda,93.0,Kindergarten
6001481,Public,Coyote Hills Elementary,,Alameda,98.0,Kindergarten
6001507,Public,John F. Kennedy Elementary,,Alameda,99.0,Kindergarten
6001523,Public,Lincoln Elementary Newark,,Alameda,95.0,Kindergarten
111476,Public,Achieve Academy,,Alameda,98.0,Kindergarten
6002273,Public,Acorn Woodland Elementary,,Alameda,95.0,Kindergarten
6001630,Public,Allendale Elementary,,Alameda,85.0,Kindergarten
114363,Public,American Indian Public Charter School Ii,,Alameda,88.0,Kindergarten
6118608,Public,Ascend,,Alameda,98.0,Kindergarten
109819,Public,Aspire Berkley Maynard Academy,,Alameda,98.0,Kindergarten
128413,Public,Aspire College Academy,,Alameda,95.0,Kindergarten
6117568,Public,Aspire Monarch Academy,,Alameda,98.0,Kindergarten
130732,Public,Aspire Triumph Technology Academy,,Alameda,95.0,Kindergarten
6001655,Public,Bella Vista Elementary,,Alameda,94.0,Kindergarten
6002075,Public,Bridges @ Melrose Academy Elementary,,Alameda,96.0,Kindergarten
6001689,Public,Burckhalter Elementary,,Alameda,78.0,Kindergarten
6001697,Public,Carl B. Munck Elementary,,Alameda,58.0,Kindergarten
6001648,Public,Chabot Elementary Oakland,,Alameda,98.0,Kindergarten
6001739,Public,Cleveland Elementary,,Alameda,97.0,Kindergarten
6001754,Public,Crocker Highlands Elementary,,Alameda,98.0,Kindergarten
115600,Public,East Oakland Pride Elementary,,Alameda,8.0,Kindergarten
6001812,Public,Emerson Elementary Oakland,,Alameda,47.0,Kindergarten
102988,Public,Encompass Academy Elementary,,Alameda,98.0,Kindergarten
6002190,Public,Esperanza Elementary,,Alameda,82.0,Kindergarten
132514,Public,Francophone Charter School Of Oakland,,Alameda,98.0,Kindergarten
6001820,Public,Franklin Elementary Oakland,,Alameda,92.0,Kindergarten
112813,Public,Fred T. Korematsu Discovery Academy Elementary,,Alameda,83.0,Kindergarten
6001838,Public,Fruitvale Elementary,,Alameda,96.0,Kindergarten
6001846,Public,Garfield Elementary Oakland,,Alameda,93.0,Kindergarten
6001853,Public,Glenview Elementary,,Alameda,98.0,Kindergarten
115584,Public,Global Family Elementary,,Alameda,99.0,Kindergarten
6001879,Public,Grass Valley Elementary,,Alameda,81.0,Kindergarten
115618,Public,Greenleaf,,Alameda,98.0,Kindergarten
6001903,Public,Highland Community,,Alameda,97.0,Kindergarten
6001911,Public,Hillcrest,,Alameda,98.0,Kindergarten
6057046,Public,Hoover Elementary,,Alameda,72.0,Kindergarten
6001929,Public,Horace Mann Elementary,,Alameda,86.0,Kindergarten
6118616,Public,International Community Elementary,,Alameda,92.0,Kindergarten
6001945,Public,Joaquin Miller Elementary,,Alameda,98.0,Kindergarten
141804,Public,Kaiser Early Childhood Center,,Alameda,87.0,Kindergarten
115014,Public,Kipp Bridge Academy,,Alameda,98.0,Kindergarten
6096523,Public,La Escuelita,,Alameda,97.0,Kindergarten
6001994,Public,Laurel Elementary,,Alameda,78.0,Kindergarten
115592,Public,Learning Without Limits,,Alameda,95.0,Kindergarten
130633,Public,Lighthouse Community Charter,,Alameda,95.0,Kindergarten
6002018,Public,Lincoln Elementary Oakland,,Alameda,81.0,Kindergarten
115204,Public,Lockwood Steam Academy Elementary,,Alameda,94.0,Kindergarten
134015,Public,Lodestar: A Lighthouse Community Charter Public,,Alameda,95.0,Kindergarten
6002182,Public,Madison Park Academy Elementary,,Alameda,33.0,Kindergarten
6002042,Public,Manzanita Community Elementary,,Alameda,96.0,Kindergarten
110247,Public,Manzanita Seed Elementary,,Alameda,90.0,Kindergarten
6002059,Public,Markham Elementary,,Alameda,73.0,Kindergarten
6072235,Public,Martin Luther King Jr. Elementary,,Alameda,65.0,Kindergarten
6118640,Public,Melrose Leadership Academy,,Alameda,98.0,Kindergarten
6002083,Public,Montclair Elementary,,Alameda,92.0,Kindergarten
6117972,Public,North Oakland Community Charter,,Alameda,95.0,Kindergarten
6001713,Public,Oakland Academy Of Knowledge Elementary,,Alameda,64.0,Kindergarten
6002109,Public,Peralta Elementary,,Alameda,98.0,Kindergarten
6002117,Public,Piedmont Avenue Elementary,,Alameda,98.0,Kindergarten
6002125,Public,Prescott Elementary,,Alameda,95.0,Kindergarten
110239,Public,Reach Academy Elementary,,Alameda,98.0,Kindergarten
6002141,Public,Redwood Heights Elementary,,Alameda,26.0,Kindergarten
110254,Public,Sankofa United Elementary,,Alameda,32.0,Kindergarten
6002174,Public,Sequoia Elementary,,Alameda,96.0,Kindergarten
100792,Public,Think College Now Elementary,,Alameda,96.0,Kindergarten
6002216,Public,Thornhill Elementary,,Alameda,97.0,Kindergarten
6002281,Public,Beach Elementary,,Alameda,98.0,Kindergarten
6002299,Public,Havens Elementary,,Alameda,98.0,Kindergarten
6002307,Public,Wildwood Elementary,,Alameda,95.0,Kindergarten
6002315,Public,Alisal Elementary,,Alameda,97.0,Kindergarten
6001366,Public,Donlon Elementary,,Alameda,98.0,Kindergarten
6002323,Public,Fairlands Elementary,,Alameda,99.0,Kindergarten
6114318,Public,Henry P. Mohr Elementary,,Alameda,98.0,Kindergarten
6001416,Public,Lydiksen Elementary,,Alameda,99.0,Kindergarten
6117600,Public,Phoebe Apperson Hearst Elementary,,Alameda,98.0,Kindergarten
6002349,Public,Valley View Elementary,,Alameda,99.0,Kindergarten
6089361,Public,Vintage Hills Elementary,,Alameda,98.0,Kindergarten
6002356,Public,Walnut Grove Elementary,,Alameda,98.0,Kindergarten
6002372,Public,Garfield Elementary San Leandro,,Alameda,96.0,Kindergarten
6002463,Public,Halkin Elementary,,Alameda,97.0,Kindergarten
6002398,Public,Jefferson Elementary,,Alameda,92.0,Kindergarten
6002414,Public,Madison Elementary,,Alameda,95.0,Kindergarten
