Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
9433,Private School,Flatirons Academy,,Adams,82.93,Kindergarten
9433,Private School,Flatirons Academy,,Adams,89.9,All ages
9449,Public School,Landmark Academy At Reunion,,Adams,96.34,Kindergarten
9449,Public School,Landmark Academy At Reunion,,Adams,96.45,All ages
9466,Public School,Legacy High School,,Adams,98.37,All ages
9472,Public School,Leroy Drive Elementary School,,Adams,90.63,Kindergarten
9472,Public School,Leroy Drive Elementary School,,Adams,93.09,All ages
9474,Public School,Lester R Arnold High School,,Adams,99.44,All ages
9487,Private School,Cedarwood Christian Academy,,Adams,100,All ages
9502,Private School,Our Lady Help Of Christians Academy,,Adams,33.33,Kindergarten
9502,Private School,Our Lady Help Of Christians Academy,,Adams,54.78,All ages
9531,Public School,Colorado Sports Leadership Academy,,Adams,100,Kindergarten
9531,Public School,Colorado Sports Leadership Academy,,Adams,99.28,All ages
9535,Public School,Malley Drive Elementary School,,Adams,91.8,Kindergarten
9535,Public School,Malley Drive Elementary School,,Adams,95.47,All ages
9553,Public School,Mapleton Early College High School,,Adams,97.72,All ages
9554,Public School,Mapleton Expeditionary School Of The Arts,,Adams,95.51,All ages
9566,Public School,Mary E Pennock Elementary School,,Adams,87.23,Kindergarten
9566,Public School,Mary E Pennock Elementary School,,Adams,94.44,All ages
9572,Public School,Mc Elwain Elementary School,,Adams,94.74,Kindergarten
9572,Public School,Mc Elwain Elementary School,,Adams,94.43,All ages
9593,Public School,Meridian Elementary School,,Adams,95.45,Kindergarten
9593,Public School,Meridian Elementary School,,Adams,97.41,All ages
9601,Public School,Mesa Elementary School,,Adams,97.87,Kindergarten
9601,Public School,Mesa Elementary School,,Adams,100,All ages
9622,Public School,Monaco Elementary School,,Adams,89.13,Kindergarten
9622,Public School,Monaco Elementary School,,Adams,96.2,All ages
9633,Public School,Monterey Community School,,Adams,91.3,Kindergarten
9633,Public School,Monterey Community School,,Adams,96.04,All ages
9657,Public School,Mountain Range High School,,Adams,97.86,All ages
9692,Public School,New Legacy Charter School,,Adams,94.9,All ages
9713,Public School,North Mor Elementary School,,Adams,97.56,Kindergarten
9713,Public School,North Mor Elementary School,,Adams,97.89,All ages
9717,Public School,North Star Elementary School,,Adams,95,Kindergarten
9717,Public School,North Star Elementary School,,Adams,97.84,All ages
9719,Public School,North Valley School For Young Adults,,Adams,97.09,All ages
9720,Public School,Northeast Elementary School,,Adams,94.81,Kindergarten
9720,Public School,Northeast Elementary School,,Adams,95.19,All ages
9723,Public School,Northglenn High School,,Adams,98.41,All ages
9724,Public School,Northglenn Middle School,,Adams,96.43,All ages
9752,Public School,Otho E Stuart Middle School,,Adams,97.01,All ages
9759,Public School,Overland Trail Middle School,,Adams,97.72,All ages
9777,Public School,Park Lane Elementary School,,Adams,53.19,Kindergarten
9777,Public School,Park Lane Elementary School,,Adams,80.04,All ages
9787,Public School,Pathways Future Center,,Adams,97.08,All ages
9858,Public School,Prairie Creeks Charter School,,Adams,92.59,All ages
9863,Public School,Prairie Hills Elementary School,,Adams,97.92,Kindergarten
9863,Public School,Prairie Hills Elementary School,,Adams,97.6,All ages
9868,Public School,Prairie View High School,,Adams,98.03,All ages
9869,Public School,Prairie View Middle School,,Adams,94.66,All ages
9882,Public School,Prospect Ridge Academy,,Adams,96.59,Kindergarten
9882,Public School,Prospect Ridge Academy,,Adams,96.12,All ages
9939,Public School,Riverdale Elementary School,,Adams,97.96,Kindergarten
9939,Public School,Riverdale Elementary School,,Adams,96.75,All ages
9956,Public School,Rocky Mountain Elementary School,,Adams,97.14,Kindergarten
9956,Public School,Rocky Mountain Elementary School,,Adams,95.55,All ages
9964,Public School,Rocky Top Middle School,,Adams,97.74,All ages
9972,Public School,Rose Hill Elementary School,,Adams,100,Kindergarten
9972,Public School,Rose Hill Elementary School,,Adams,98.56,All ages
10017,Public School,Second Creek Elementary School,,Adams,93.2,Kindergarten
10017,Public School,Second Creek Elementary School,,Adams,94.42,All ages
10024,Public School,Shadow Ridge Middle School,,Adams,97.17,All ages
10026,Public School,Shaw Heights Middle School,,Adams,99.76,All ages
10036,Public School,Sherrelwood Elementary School,,Adams,94.59,Kindergarten
10036,Public School,Sherrelwood Elementary School,,Adams,98.49,All ages
10044,Public School,Silver Creek Elementary School,,Adams,97.33,Kindergarten
10044,Public School,Silver Creek Elementary School,,Adams,96.88,All ages
10046,Public School,Silver Hills Middle School,,Adams,97.55,All ages
10061,Public School,Orchard Park Academy,,Adams,95.83,Kindergarten
10061,Public School,Orchard Park Academy,,Adams,96,All ages
10064,Public School,Skyview Elementary School,,Adams,96.3,Kindergarten
10064,Public School,Skyview Elementary School,,Adams,97.21,All ages
10081,Public School,South Elementary School,,Adams,90.48,Kindergarten
10081,Public School,South Elementary School,,Adams,97.11,All ages
10094,Public School,Southeast Elementary School,,Adams,85.37,Kindergarten
10094,Public School,Southeast Elementary School,,Adams,91.86,All ages
10132,Public School,Stargate Charter School,,Adams,96.84,Kindergarten
10132,Public School,Stargate Charter School,,Adams,98.37,All ages
10140,Public School,Stellar Elementary School,,Adams,96.88,Kindergarten
10140,Public School,Stellar Elementary School,,Adams,95.87,All ages
10141,Public School,Stem Lab,,Adams,97.22,Kindergarten
10141,Public School,Stem Lab,,Adams,96.79,All ages
10142,Public School,Stem Launch,,Adams,95.45,Kindergarten
10142,Public School,Stem Launch,,Adams,98.12,All ages
10155,Public School,Strasburg Elementary School,,Adams,94.44,Kindergarten
10155,Public School,Strasburg Elementary School,,Adams,96.86,All ages
10156,Public School,Strasburg High School,,Adams,98.92,All ages
10176,Public School,Stukey Elementary School,,Adams,82.98,Kindergarten
10176,Public School,Stukey Elementary School,,Adams,92.57,All ages
10192,Public School,Sunset Ridge Elementary School,,Adams,96.77,Kindergarten
10192,Public School,Sunset Ridge Elementary School,,Adams,97.56,All ages
10204,Public School,Tarver Elementary School,,Adams,98.11,Kindergarten
10204,Public School,Tarver Elementary School,,Adams,94.86,All ages
10214,Public School,Tennyson Knolls Preparatory School,,Adams,93.02,Kindergarten
10214,Public School,Tennyson Knolls Preparatory School,,Adams,95.51,All ages
10223,Public School,The International School At Thornton Middle School,,Adams,94.85,All ages
10230,Public School,The Studio School,,Adams,90.91,Kindergarten
10230,Public School,The Studio School,,Adams,94.12,All ages
10240,Public School,Thornton Elementary School,,Adams,82.22,Kindergarten
10240,Public School,Thornton Elementary School,,Adams,91.82,All ages
10241,Public School,Thornton High School,,Adams,95.09,All ages
10266,Public School,Turnberry Elementary,,Adams,99.13,Kindergarten
10266,Public School,Turnberry Elementary,,Adams,97.48,All ages
10290,Public School,Valley View Innovation School K-2,,Adams,96.97,Kindergarten
10290,Public School,Valley View Innovation School K-2,,Adams,95.24,All ages
10298,Public School,Vantage Point,,Adams,97.97,All ages
10304,Public School,Victory Preparatory Academy High State Charter School,,Adams,99.29,All ages
10305,Public School,Victory Preparatory Academy Middle State Charter School,,Adams,99.4,All ages
10306,Public School,Vikan Middle School,,Adams,96.56,All ages
10358,Public School,West Ridge Elementary,,Adams,91,Kindergarten
10358,Public School,West Ridge Elementary,,Adams,96.11,All ages
10362,Public School,Westgate Community School,,Adams,90,Kindergarten
10362,Public School,Westgate Community School,,Adams,95.43,All ages
10364,Public School,Westlake Middle School,,Adams,98.02,All ages
10365,Public School,Westminster Academy For International Studies,,Adams,100,Kindergarten
10365,Public School,Westminster Academy For International Studies,,Adams,97.78,All ages
10366,Public School,Westminster High School,,Adams,99.08,All ages
10369,Public School,Westview Elementary School,,Adams,93.55,Kindergarten
10369,Public School,Westview Elementary School,,Adams,95.76,All ages
10380,Public School,Academy High School,,Adams,96.59,All ages
10382,Public School,Academy Of Charter Schools,,Adams,83.46,Kindergarten
10382,Public School,Academy Of Charter Schools,,Adams,66.76,All ages
10388,Public School,Achieve Academy,,Adams,85,Kindergarten
10388,Public School,Achieve Academy,,Adams,95.49,All ages
