Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,Mead Elementary School,75 Ford Street,New Haven,98.8,Kindergarten
,Public,Ashford School,440 Westford Rd.,Windham,100,Kindergarten
,Public,Pine Grove School,151 Scoville Rd.,Hartford,100,Kindergarten
,Public,Reggio Magnet School,59 waterville road,Hartford,98.4,Kindergarten
,Public,Roaring Brook School,30 Old Wheeler Lane,Hartford,99,Kindergarten
,Public,Laurel Ledge Elementary,30 Highland Ave,New Haven,90,Kindergarten
,Public,Emma Hart Willard School,1088 Norton Road,Hartford,100,Kindergarten
,Public,Bethany Community School,44 Peck Road,New Haven,92.9,Kindergarten
,Public,Anna H Rockwell Elem,400 Whittlesey Drive,Fairfield,99.1,Kindergarten
,Public,Frank A Berry Elementary,200 Whittelsey Drive,Fairfield,98.2,Kindergarten
,Public,Bethlehem Elementary School,92 East Street,Litchfield,97.6,Kindergarten
,Public,Laurel Literacy Academy,1 Filley Street,Hartford,100,Kindergarten
,Public,Museum Academy,11 Turkey Hill Rd,Hartford,100,Kindergarten
,Public,The CREC Ana Grace Academy of the Arts Elementary Magnet School,129 Griffin Rd N.,Hartford,100,Kindergarten
,Public,Bolton Center school,108 Notch Road,Tolland,100,Kindergarten
,Public,John B. Sliney Elementary,23 Eades Street,New Haven,97.8,Kindergarten
,Public,Mary R. Tisko School,118 Damascus Rd.,New Haven,98.5,Kindergarten
,Public,Mary T Murphy,14 Brushy Plain RD,New Haven,98.4,Kindergarten
,Public,Achievement first bridgeport elementary,655 Stillman st,New Haven,92,Kindergarten
,Non-public,adam J Lewis Academy,500 state street,Fairfield,94.1,Kindergarten
,Public,Barnum School,495 Waterview Ave,Fairfield,97.3,Kindergarten
,Public,Beardsley,500 Huntington Rd,Fairfield,100,Kindergarten
,Public,Black Rock (Bridgeport),545 Brewster Street,Fairfield,97.8,Kindergarten
,Public,Blackham Elementary School,425 Thorme street,Fairfield,98.8,Kindergarten
,Public,Bryant Elementary,230 Poplar St,Fairfield,97.7,Kindergarten
,Public,Capital Preparatory Harbor School,461 Mill Hill Avenue,Fairfield,83,Kindergarten
,Public,Cesar A Batalla,606 HOward Ave,Fairfield,95.8,Kindergarten
,Public,Classical Studies Magnet Academy Annex,659 Beechwood Avenue,Fairfield,100,Kindergarten
,Public,Columbus School,275 George Street,Fairfield,92.1,Kindergarten
,Public,Geraldine Claytor Magnet Academy,140 Ocean Terrace,Fairfield,81.8,Kindergarten
,Public,Geraldine Johnson School,475 Lexington Avenue,Fairfield,100,Kindergarten
,Public,Hall School,290 Clermont ave,Fairfield,97.2,Kindergarten
,Public,Hallen,68 Omega Avenue,Fairfield,97.6,Kindergarten
,Public,High Horizons Magnet School,700 Palisade Avenue,Fairfield,100,Kindergarten
,Public,inter-district Discovery Magnet School,1450 Park Ave,Fairfield,84.4,Kindergarten
,Public,James J. Curiale,300 Larual Ave.,Fairfield,100,Kindergarten
,Public,Jettie Tisdale,250 Hollister Ave,Fairfield,74,Kindergarten
,Public,John Winthrop,85 Eckart Street,Fairfield,100,Kindergarten
,Public,Madison Elementary School,376 Wayne Street,Fairfield,92.1,Kindergarten
,Public,Multicultural Magnet School,700 Palisade Avenue,Fairfield,97.1,Kindergarten
,Public,New Beginnings Family Academy,184 Garden St,Fairfield,100,Kindergarten
,Public,Park City Magnet,1526 Chopsey Hill Rd,Fairfield,98.2,Kindergarten
,Public,PL Dunbar,445 Union Avenue,Fairfield,100,Kindergarten
,Public,Read,130 Ezra Street,Fairfield,99,Kindergarten
,Public,Roosevelt,680 Park ave,Fairfield,97.6,Kindergarten
,Public,Six to six magnet school,601 Pearl Harbor St,Fairfield,100,Kindergarten
,Non-public,St. Raphael Academy,324 Frank Street,Fairfield,92.1,Kindergarten
,Public,Waltersville,150 Hallett Street,Fairfield,100,Kindergarten
