School Type,Facility Address,County,Facility Number,School District or Name,MMR Vaccination Rate,Age Group
,,Adair,2673,Nodaway Valley Middle School,96.97,K-12
,,Adair,2673,Nodaway Valley High School,91.67,K-12
,,Adair,2673,Nodaway Valley Elementary School,96.38,K-12
,,Adams,1431,Corning Elementary School,98.89,K-12
,,Adams,1431,Southwest Valley High School,97.01,K-12
,,Allamakee,1972,New Albin Elementary School,92.17,K-12
,,Allamakee,135,St Patrick School-Waukon,91.98,K-12
,,Allamakee,135,West Campus Elementary School,93.78,K-12
,,Allamakee,135,East Campus Elementary School,96.55,K-12
,,Allamakee,135,Waukon Middle School,94.46,K-12
,,Allamakee,5310,Cora B Darling Elementary School,93.95,K-12
,,Allamakee,5310,John R Mott Jr/High School,92.08,K-12
,,Allamakee,135,Waukon High School,92.89,K-12
,,Appanoose,4491,Moravia Elementary School,91.46,K-12
,,Appanoose,4491,Moravia High School,79.69,K-12
,,Appanoose,1071,Howar Junior High School,87.95,K-12
,,Appanoose,1071,Centerville High School,88.35,K-12
,,Appanoose,1071,Lakeview Elementary-Centerville,90.75,K-12
,,Audubon,2151,ExiraElk Horn-Kimballton Elementary,92.42,K-12
,,Audubon,414,Audubon Middle-High School,98.01,K-12
,,Benton,609,Keystone Elementary School,92.91,K-12
,,Benton,609,Central Lutheran School,81.82,K-12
,,Benton,576,Belle Plaine Jr/Sr High School,93.84,K-12
,,Benton,609,Benton Community Middle School,92.59,K-12
,,Benton,6660,Shellsburg Elementary School,94.64,K-12
,,Benton,576,Longfellow Elementary School-Belle Plaine,92.42,K-12
,,Benton,1062,Center Point-Urbana Intermediate School,97.47,K-12
,,Benton,609,Atkins Elementary School,93.01,K-12
,,Benton,609,Norway Elementary School,95.01,K-12
,,Benton,6660,Vinton-Shellsburg Middle School,94.72,K-12
,,Benton,6660,Vinton-Shellsburg High School,93.49,K-12
,,Benton,609,Benton Community Senior High School,93.5,K-12
,,Benton,6660,Tilford Elementary School,91.5,K-12
,,Black Hawk,1044,Valley Lutheran School,85.42,K-12
,,Black Hawk,6795,Waterloo Christian Sch School System,79.29,K-12
,,Black Hawk,6795,Waterloo Christian High School,81.18,K-12
,,Black Hawk,1908,Dunkerton Elementary,95.91,K-12
,,Black Hawk,6795,Blessed Maria Assunta Pallotta Middle School,97.71,K-12
,,Black Hawk,1044,St Patrick School-Cedar Falls,98.3,K-12
,,Black Hawk,6795,Immaculate Conception- St Joseph,97.4,K-12
,,Black Hawk,1908,Dunkerton High School,95.63,K-12
,,Black Hawk,6795,Don Bosco High School,96.26,K-12
,,Black Hawk,6795,Columbus Catholic High School,96.97,K-12
,,Black Hawk,6536,La Porte City Elementary School,93.99,K-12
,,Black Hawk,1044,North Cedar Elementary School,95.7,K-12
,,Black Hawk,6795,Sant Edward Elementary School,96.92,K-12
,,Black Hawk,6795,Lowell Elementary School,96.5,K-12
,,Black Hawk,6795,Kingsley Elementary School-Waterloo,97.18,K-12
,,Black Hawk,6795,Cunningham School,93.67,K-12
,,Black Hawk,6795,Irving Elementary School-Waterloo,89.92,K-12
,,Black Hawk,3042,Hudson Elementary School,98.01,K-12
,,Black Hawk,6795,Fred Becker Elementary School,95.72,K-12
,,Black Hawk,1044,Cedar Heights Elementary School,95.97,K-12
,,Black Hawk,1044,Lincoln Elementary School-Cedar Falls,95.09,K-12
,,Black Hawk,6795,Highland Elementary School,96.04,K-12
,,Black Hawk,1044,Orchard Hill Elementary School,96.97,K-12
,,Black Hawk,3042,Hudson High School,97.27,K-12
,,Black Hawk,1044,Bess Streeter Aldrich Elementary School,97.52,K-12
,,Black Hawk,6795,George Washington Carver Academy,97.54,K-12
,,Black Hawk,6795,Lou Henry Elementary School,94.52,K-12
,,Black Hawk,6795,Lincoln Elementary School-Waterloo,92.14,K-12
,,Black Hawk,6795,Orange Elementary School,96.98,K-12
,,Black Hawk,6795,Central Middle School,97.87,K-12
,,Black Hawk,6795,Bunger Middle School,93.01,K-12
,,Black Hawk,1044,Southdale Elementary School,96.93,K-12
,,Black Hawk,6795,Kittrell Elementary School,97.5,K-12
,,Black Hawk,1044,Helen A Hansen Elementary School,98.17,K-12
,,Black Hawk,6795,Expo Alternative Learning Center,95.85,K-12
,,Black Hawk,1044,Holmes Junior High School,97.93,K-12
,,Black Hawk,1044,Peet Junior High School,97.41,K-12
,,Black Hawk,6795,Hoover Middle School,98.45,K-12
,,Black Hawk,6795,East High School-Waterloo,95.3,K-12
,,Black Hawk,1044,Cedar Falls High School,92.31,K-12
,,Black Hawk,6795,West High School-Waterloo,95.78,K-12
,,Boone,729,Trinity Lutheran School-Boone,94.74,K-12
,,Boone,4878,Ogden Middle School,98.85,K-12
,,Boone,6561,United Community School,97.65,K-12
,,Boone,4878,Ogden High School,93.21,K-12
,,Boone,729,Ledges Elementary,96.13,K-12
,,Boone,4878,Ogden Elementary School,98.37,K-12
,,Boone,729,Franklin Elementary School-Boone,96.67,K-12
,,Boone,3942,Madrid Elementary School,95.39,K-12
,,Boone,729,Boone Middle School,95.14,K-12
,,Boone,729,Boone High School,95.89,K-12
,,Bremer,6762,Readlyn Elementary School,95.45,K-12
,,Bremer,6840,St Pauls Lutheran School-Waverly,82.12,K-12
,,Bremer,6840,Southeast Elementary School,95.81,K-12
,,Bremer,6471,Tripoli Middle/Sr High School,94.05,K-12
,,Bremer,6273,Durant Elementary School-Sumner,93.06,K-12
,,Bremer,6471,Tripoli Elementary School,94.54,K-12
,,Bremer,3186,Janesville Junior-Senior High School,93.75,K-12
,,Bremer,1719,Denver Middle School,95.54,K-12
,,Bremer,6840,West Cedar Elementary School,96.89,K-12
,,Bremer,3186,Janesville Elementary School,80.43,K-12
,,Bremer,6840,Margaretta Carey Elementary School,97.46,K-12
,,Bremer,6273,Sumner-Fredericksburg HS,98.38,K-12
