Facility Number,School Type,School District or Name,County,Facility Address,MMR Vaccination Rate,Age Group
,Private,A Childs Choice Montessori School,Ada,1657 S. Woodsage Ave.,58.82,Kindergarten
,Public,A.B. MCDONALD ELEMENTARY SCHOOL,Latah,2323 East D Street,92.5,Kindergarten
,Public,A.H. BUSH ELEMENTARY SCHOOL,Bonneville,380 West Anderson,97.56,Kindergarten
,Public,A.J. WINTERS ELEMENTARY SCHOOL,Bear Lake,535 CLAY ST,95.92,Kindergarten
,Public,A.W. JOHNSON ELEMENTARY SCHOOL,Bingham,735 North 600 East,74.47,Kindergarten
,Public,ABERDEEN ELEMENTARY SCHOOL,Bingham,"382 W. Washington, PO Box 610",82.35,Kindergarten
,Public,ACEQUIA ELEMENTARY SCHOOL,Minidoka,360 N 350 E,93.18,Kindergarten
,Private,ACORN LEARNING CENTER,Twin Falls,493 Eastland Dr.,77.78,Kindergarten
,Public,ADAMS ELEMENTARY SCHOOL - BOISE,Ada,1725 E. Warm Springs Ave.,86.96,Kindergarten
,Public,ADAMS ELEMENTARY SCHOOL - REXBURG,Madison,110 N 2nd E,79.59,Kindergarten
,Private,ALL SAINTS CATHOLIC SCHOOL,Nez Perce,3326 14th St.,95.65,Kindergarten
,Public,ALTURAS ELEMENTARY SCHOOL,Blaine,1111 ALTURAS LANE,75.76,Kindergarten
,Charter,ALTURAS INTERNATIONAL ACADEMY,Bonneville,151 N. Ridge Ave.,92.71,Kindergarten
,Charter,AMERICAN HERITAGE CHARTER SCHOOL,Bonneville,1736 S 35TH W,82,Kindergarten
,Public,AMITY ELEMENTARY SCHOOL,Ada,10000 W Amity Road,88.1,Kindergarten
,Public,AMMON ELEMENTARY SCHOOL,Bonneville,2900 Central Ave,94.29,Kindergarten
,Charter,ANSER CHARTER SCHOOL,Ada,202 E 42nd St,87.72,Kindergarten
,Public,ARCO ELEMENTARY SCHOOL,Butte,250 South Water Street,70.83,Kindergarten
,Public,ASHTON ELEMENTARY SCHOOL,Fremont,168 S 1st Street,83.33,Kindergarten
,Public,ATHOL ELEMENTARY SCHOOL,Kootenai,6333 E. Menser Ave,91.3,Kindergarten
,Public,ATLAS ELEMENTARY SCHOOL,Kootenai,3000 W. Honeysuckle Ave,71.88,Kindergarten
,Public,BARBARA MORGAN STEM ACADEMY,Ada,1825 Chateau Drive,87.88,Kindergarten
,Public,BARBARA R. MORGAN ELEMENTARY SCHOOL,Valley,125 N Samson Trail,93.1,Kindergarten
,Public,BASIN ELEMENTARY SCHOOL,Boise,101 Elk Creek Road,62.5,Kindergarten
,Private,BEACON CHRISTIAN SCHOOL,Nez Perce,615 Stewart Avenue,66.67,Kindergarten
,Public,BELLEVUE ELEMENTARY SCHOOL,Blaine,305 N 5th St.,85.19,Kindergarten
,Public,BETTY KIEFER ELEMENTARY SCHOOL,Kootenai,13898 schooner street,88,Kindergarten
,Public,BICKEL ELEMENTARY SCHOOL,Twin Falls,607 2nd Ave E,91.18,Kindergarten
,Public,BIRCH ELEMENTARY SCHOOL,Canyon,6900 Birch Lane,80,Kindergarten
,Public,BLACK CANYON ELEMENTARY,Caribou,605 S. 4th W PO Box 347,84.62,Kindergarten
,Charter,BLACKFOOT CHARTER COMMUNITY LEARNING CENTER,Bingham,92 North 415 West,86,Kindergarten
,Public,BLISS SCHOOL,Gooding,PO Box 115,88.89,Kindergarten
,Private,BOISE VALLEY ADVENTIST SCHOOL,Ada,925 N. Cloverdale Rd.,66.67,Kindergarten
,Online,BONNEVILLE ONLINE ELEMENTARY SCHOOL,Online,2017 E 49th N,55.56,Kindergarten
,Public,BORAH ELEMENTARY SCHOOL,Kootenai,632 E Borah Ave,71.43,Kindergarten
,Public,BOVILL ELEMENTARY SCHOOL,Latah,410 3rd Avenue,63.64,Kindergarten
,Public,BRIDGEWATER ELEMENTARY SCHOOL,Bonneville,1499 Indian Hollow Drive,87.72,Kindergarten
,Public,BRYAN ELEMENTARY SCHOOL,Kootenai,802 Harrison Avenue,90.63,Kindergarten
,Public,BURTON ELEMENTARY SCHOOL,Madison,2211 W 1000 S,86.49,Kindergarten
,Public,BUTTE COUNTY SECONDARY SCHOOL,Butte,120 South Water Street,70.83,Kindergarten
,Public,BUTTE VIEW ELEMENTARY,Gem,400 S. Pine St.,87.76,Kindergarten
,Private,CALVARY CHRISTIAN ACADEMY,Gem,498 W. Idaho Blvd.,50,Kindergarten
,Private,CALVARY CHRISTIAN SCHOOL - BOISE,Ada,111 Auto Drive,58.33,Kindergarten
,Private,CALVARY CHRISTIAN SCHOOL - NAMPA,Canyon,1210 N. Middleton Rd.,7.14,Kindergarten
,Public,Camas County School,Camas,610 Soldier Road,100,Kindergarten
,Public,CAMBRIDGE ELEMENTARY SCHOOL,Washington,455 Hopper Ave.,45.45,Kindergarten
,Public,CAMELOT ELEMENTARY SCHOOL,Nez Perce,1903 Grelle Ave,87.5,Kindergarten
,Public,CANYON ELEMENTARY SCIENCE MAGNET SCHOOL,Kootenai,East 27491 School House Loop,68,Kindergarten
,Private,CANYONSIDE CHRISTIAN SCHOOL,Jerome,820 East Nez Perce,87.5,Kindergarten
,Public,CAREY PUBLIC SCHOOL,Blaine,22 PANTHER LANE,92.86,Kindergarten
,Public,CASCADE DISTRICT SCHOOL,Valley,P. O. Box 291,63.16,Kindergarten
,Public,CASTLEFORD SCHOOL,Twin Falls,500 Main Street,76.47,Kindergarten
,Public,CAVENDISH-TEAKEAN ELEMENTARY SCHOOL,Nez Perce,455 Middle Road,66.67,Kindergarten
,Public,CECIL D ANDRUS ELEMENTARY SCHOOL,Ada,6100 N. Meadow Park Way,87.5,Kindergarten
,Private,CENTENNIAL BAPTIST SCHOOL,Canyon,3610 E. Ustick Rd,44,Kindergarten
,Public,CENTENNIAL ELEMENTARY SCHOOL-LEWISTON,Nez Perce,815 Burrell Ave.,96.23,Kindergarten
,Public,CENTENNIAL ELEMENTARY SCHOOL-NAMPA,Canyon,522 Mason Lane,75.47,Kindergarten
,Public,CENTRAL CANYON ELEMENTARY SCHOOL,Canyon,16437 S. Florida Ave,85.85,Kindergarten
,Public,CENTRAL ELEMENTARY SCHOOL-NAMPA,Canyon,1415 5th St. S.,78.95,Kindergarten
,Public,CENTRAL ELEMENTARY SCHOOL-SUGAR CITY,Madison,102 N Park Ave  PO Box 239,81.4,Kindergarten
