Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,BREBEUF JESUIT PREPARATORY SCHOOL,MARION,12,95.15
,,,ADAMS CENTRAL HIGH SCHOOL,ADAMS,12,92.93
,,,ADAMS CENTRAL ELEMENTARY SCHOOL,ADAMS,1,96.97
,,,ADAMS CENTRAL ELEMENTARY SCHOOL,ADAMS,K,96.59
,,,ADAMS CENTRAL MIDDLE SCHOOL,ADAMS,7,94.74
,,,ADAMS CENTRAL MIDDLE SCHOOL,ADAMS,6,93.94
,,,BELLMONT ELEMENTARY,ADAMS,1,90.1
,,,BELLMONT SENIOR HIGH SCHOOL,ADAMS,12,97.78
,,,BELLMONT MIDDLE SCHOOL,ADAMS,7,96.3
,,,BELLMONT ELEMENTARY,ADAMS,K,90.74
,,,BELLMONT MIDDLE SCHOOL,ADAMS,6,97.47
,,,SOUTH ADAMS MIDDLE SCHOOL,ADAMS,6,92.23
,,,SOUTH ADAMS ELEMENTARY SCHOOL,ADAMS,K,86.89
,,,SOUTH ADAMS HIGH SCHOOL,ADAMS,12,98.72
,,,SOUTH ADAMS ELEMENTARY SCHOOL,ADAMS,1,85.92
,,,SOUTH ADAMS MIDDLE SCHOOL,ADAMS,7,89.58
,,,IRVINGTON COMMUNITY MIDDLE SCHOOL,MARION,6,81.82
,,,IRVINGTON COMMUNITY ELEMENTARY SCHOOL,MARION,1,94.92
,,,IRVINGTON PREPARATORY ACADEMY,MARION,12,85
,,,IRVINGTON COMMUNITY MIDDLE SCHOOL,MARION,7,98.44
,,,IRVINGTON COMMUNITY ELEMENTARY SCHOOL,MARION,K,89.47
,,,BLACKHAWK CHRISTIAN ELEMENTARY SCH,ALLEN,K,100
,,,BLACKHAWK CHRISTIAN MDL/HIGH SCH,ALLEN,6,100
,,,BLACKHAWK CHRISTIAN ELEMENTARY SCH,ALLEN,1,93.62
,,,OUR SHEPHERD LUTHERAN SCHOOL,HENDRICKS,7,100
,,,OUR SHEPHERD LUTHERAN SCHOOL,HENDRICKS,K,60
,,,OUR SHEPHERD LUTHERAN SCHOOL,HENDRICKS,1,100
,,,OUR SHEPHERD LUTHERAN SCHOOL,HENDRICKS,6,85.71
,,,IN SCH FOR THE BLIND & VIS IMPRD,MARION,12,100
,,,IN SCH FOR THE BLIND & VIS IMPRD,MARION,6,100
,,,IN SCH FOR THE BLIND & VIS IMPRD,MARION,7,100
,,,SUMMIT MIDDLE SCHOOL,ALLEN,6,92.54
,,,WOODSIDE MIDDLE SCHOOL,ALLEN,6,97.06
,,,ESACS VIRTUAL SCHOOL,ALLEN,7,75
,,,SUMMIT MIDDLE SCHOOL,ALLEN,7,90.8
,,,WOODSIDE MIDDLE SCHOOL,ALLEN,7,94.68
,,,HAVERHILL ELEMENTARY SCHOOL,ALLEN,K,100
,,,LAFAYETTE MEADOW SCHOOL,ALLEN,K,91.3
,,,WHISPERING MEADOW ELEMENTARY SCH,ALLEN,K,98.46
,,,ABOITE ELEMENTARY SCHOOL,ALLEN,1,94.2
,,,COVINGTON ELEMENTARY SCHOOL,ALLEN,1,90.83
