Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,Adair County Primary Center,,Adair,93.83,Kindergarten
,Public,Allen County Primary Center,,Allen,89.81,Kindergarten
,Public,Ezra Sparrow Early Childhood Center,,Anderson,88.31,Kindergarten
,Public,Robert B. Turner Elementary,,Anderson,93.41,Kindergarten
,Public,Ballard County Elementary School,,Ballard,94.52,Kindergarten
,Public,Austin Tracy Elementary,,Barren,91.89,Kindergarten
,Public,Caverna Elementary,,Barren,69.7,Kindergarten
,Public,Eastern Elementary,,Barren,100.0,Kindergarten
,Public,Highland Elementary,,Barren,96.34,Kindergarten
,Public,Hiseville Elementary,,Barren,100.0,Kindergarten
,Public,North Jackson Elem.,,Barren,98.28,Kindergarten
,Public,Park City Elementary,,Barren,93.75,Kindergarten
,Public,Red Cross Elementary School,,Barren,92.65,Kindergarten
,Public,South Green Elementary School,,Barren,95.83,Kindergarten
,Public,Temple Hill Elementary,,Barren,87.88,Kindergarten
,Public,Crossroads Elementary School,,Bath,91.38,Kindergarten
,Public,Owingsville Elementary School,,Bath,83.33,Kindergarten
,Public,Bell Central School Center,,Bell,75.51,Kindergarten
,Public,Frakes School Center,,Bell,93.33,Kindergarten
,Public,Lone Jack School Center,,Bell,80.0,Kindergarten
,Public,Middlesboro Elementary,,Bell,91.11,Kindergarten
,Public,Page School Center,,Bell,93.75,Kindergarten
,Public,Pineville Elementary School,,Bell,75.0,Kindergarten
,Public,Right Fork School Center,,Bell,84.62,Kindergarten
,Public,Yellow Creek School Center,,Bell,79.63,Kindergarten
,Public,A. M. Yealey Elementary,,Boone,96.05,Kindergarten
,Public,Burlington Elementary,,Boone,98.91,Kindergarten
,Public,Chester Goodridge Elementary,,Boone,97.46,Kindergarten
,Public,Erpenbeck,,Boone,95.65,Kindergarten
,Public,Florence Elementary,,Boone,98.1,Kindergarten
,Private,Heritage Academy,,Boone,81.82,Kindergarten
,Public,Hillard Collins Elementary School,,Boone,98.7,Kindergarten
,Private,Immaculate Heart of Mary,,Boone,94.59,Kindergarten
,Public,Kelly Elementary,,Boone,82.5,Kindergarten
,Public,Longbranch Elementary School,,Boone,95.88,Kindergarten
,Private,"Mary, Queen of Heaven",,Boone,100.0,Kindergarten
,Public,New Haven Elementary School,,Boone,89.91,Kindergarten
,Public,North Pointe Elementary,,Boone,100.0,Kindergarten
,Public,Ockerman Elementary School,,Boone,96.43,Kindergarten
,Private,Our Lady of the Sacred Heart Academy,,Boone,6.06,Kindergarten
,Public,Shirley Mann Elementary,,Boone,97.09,Kindergarten
,Private,St. Paul Catholic School,,Boone,100.0,Kindergarten
,Private,St. Timothy Catholic School,,Boone,96.0,Kindergarten
,Public,Steeplechase Elementary School,,Boone,95.89,Kindergarten
,Public,Stephens Elementary,,Boone,92.68,Kindergarten
,Public,Thornwilde Elementary,,Boone,97.7,Kindergarten
,Public,Walton-Verona Elementary School,,Boone,90.99,Kindergarten
,Private,Zion Christian Academy,,Boone,69.57,Kindergarten
,Public,Bourbon Central Elementary,,Bourbon,100.0,Kindergarten
,Public,Cane Ridge Elementary School,,Bourbon,93.85,Kindergarten
,Public,North Middletown Elementary School,,Bourbon,92.31,Kindergarten
,Public,Paris Elementary School,,Bourbon,93.33,Kindergarten
,Private,St. Mary School,,Bourbon,100.0,Kindergarten
,Public,Cannonsburg Elementary,,Boyd,87.23,Kindergarten
,Public,Catlettsburg Elementary,,Boyd,90.91,Kindergarten
,Public,Charles Russell Elementary,,Boyd,88.57,Kindergarten
,Public,Crabbe Elementary,,Boyd,93.88,Kindergarten
,Public,Fairview Independent School,,Boyd,81.25,Kindergarten
,Public,Hager Elementary,,Boyd,94.44,Kindergarten
,Public,Oakview Elementary,,Boyd,90.91,Kindergarten
,Public,Poage Elementary School,,Boyd,87.23,Kindergarten
,Public,Ponderosa Elementary,,Boyd,84.21,Kindergarten
,Public,Summit Elementary,,Boyd,90.74,Kindergarten
,Private,Danville Christian Academy,,Boyle,72.97,Kindergarten
,Public,Junction City Elementary School,,Boyle,96.43,Kindergarten
,Public,Mary G Hogsett Primary,,Boyle,95.8,Kindergarten
,Public,Perryville Elementary,,Boyle,92.5,Kindergarten
,Public,Woodlawn Elementary School,,Boyle,94.19,Kindergarten
,Public,Augusta Independent School,,Bracken,95.83,Kindergarten
,Public,Taylor Elementary,,Bracken,80.0,Kindergarten
,Public,Breathitt Elementary,,Breathitt,97.8,Kindergarten
,Public,Highland Turner Elementary School,,Breathitt,85.71,Kindergarten
,Public,Jackson Independent School,,Breathitt,91.43,Kindergarten
,Public,Ben Johnson Elementary,,Breckinridge,88.1,Kindergarten
,Public,Cloverport Independent Schools,,Breckinridge,85.71,Kindergarten
,Public,Custer Elementary,,Breckinridge,84.85,Kindergarten
,Public,Hardinsburg Elementary School,,Breckinridge,96.67,Kindergarten
,Public,Irvington Elementary,,Breckinridge,88.24,Kindergarten
,Private,St. Romuald School,,Breckinridge,94.74,Kindergarten
,Public,Brooks Elementary,,Bullitt,90.41,Kindergarten
,Public,Cedar Grove Elementary,,Bullitt,92.42,Kindergarten
,Public,Crossroads Elementary School,,Bullitt,96.25,Kindergarten
,Public,Freedom Elementary School,,Bullitt,95.24,Kindergarten
,Public,Lebanon Junction Elementary,,Bullitt,85.71,Kindergarten
,Private,Little Flock Christian Academy,,Bullitt,96.0,Kindergarten
,Public,Maryville Elementary,,Bullitt,90.57,Kindergarten
,Private,Micah Christian School,,Bullitt,72.73,Kindergarten
,Public,Mt. Washington Elementary School,,Bullitt,97.53,Kindergarten
,Public,Old Mill Elementary School,,Bullitt,96.74,Kindergarten
,Public,Overdale Elementary School,,Bullitt,94.74,Kindergarten
,Public,Pleasant Grove Elem,,Bullitt,94.62,Kindergarten
,Public,Roby Elementary School,,Bullitt,98.15,Kindergarten
,Public,Shepherdsville Elementary,,Bullitt,97.44,Kindergarten
,Public,Morgantown Elementary School,,Butler,87.88,Kindergarten
,Public,North Butler Elementary School,,Butler,92.45,Kindergarten
,Public,Caldwell County Primary School,,Caldwell,89.34,Kindergarten
,Public,East Elementary,,Calloway,94.74,Kindergarten
,Public,Murray Elementary School,,Calloway,89.84,Kindergarten
,Public,North Calloway Elementary School,,Calloway,95.92,Kindergarten
,Public,Southwest Elementary,,Calloway,96.92,Kindergarten
,Public,Campbell Ridge Elementary,,Campbell,89.01,Kindergarten
,Public,Crossroads Elem,,Campbell,89.06,Kindergarten
,Public,Donald E. Cline Elementary,,Campbell,96.97,Kindergarten
,Public,Grandview Elementary,,Campbell,90.0,Kindergarten
,Public,Grant's Lick Elementary,,Campbell,98.31,Kindergarten
,Public,John W. Reiley Elementary,,Campbell,97.87,Kindergarten
,Public,Johnson Elementary,,Campbell,97.14,Kindergarten
,Public,Lincoln Elementary,,Campbell,94.83,Kindergarten
,Public,Newport Primary School,,Campbell,96.91,Kindergarten
,Public,Ruth Moyer Elementary,,Campbell,96.74,Kindergarten
,Private,Saint Therese,,Campbell,100.0,Kindergarten
,Private,Saint Thomas,,Campbell,100.0,Kindergarten
