Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,Armstrong Middle School,,Acadia,100.0,6th Grade
,,Branch Elementary School,,Acadia,97.37,6th Grade
,,Branch Elementary School,,Acadia,94.74,Kindergarten
,,Central Rayne Kindergarten School,,Acadia,93.28,Kindergarten
,,Church Point Elementary School,,Acadia,92.0,Kindergarten
,,Church Point High School,,Acadia,99.17,11th Grade
,,Church Point Middle School,,Acadia,96.55,6th Grade
,,Crowley High School,,Acadia,97.94,11th Grade
,,Crowley Kindergarten School,,Acadia,92.21,Kindergarten
,,Crowley Middle School,,Acadia,98.4,6th Grade
,,Egan Elementary School,,Acadia,96.67,6th Grade
,,Egan Elementary School,,Acadia,96.43,Kindergarten
,,Estherwood Elementary School,,Acadia,91.3,6th Grade
,,Estherwood Elementary School,,Acadia,85.0,Kindergarten
,,Evangeline Elementary School,,Acadia,75.0,6th Grade
,,Evangeline Elementary School,,Acadia,78.95,Kindergarten
,,Iota Elementary School,,Acadia,87.78,Kindergarten
,,Iota High School,,Acadia,97.16,11th Grade
,,Iota Middle School,,Acadia,97.33,6th Grade
,,Mermentau Elementary School,,Acadia,88.24,6th Grade
,,Mermentau Elementary School,,Acadia,95.0,Kindergarten
,,Midland High School,,Acadia,96.23,11th Grade
,,Mire Elementary School,,Acadia,98.72,6th Grade
,,Mire Elementary School,,Acadia,84.85,Kindergarten
,,Morse Elementary School,,Acadia,100.0,6th Grade
,,Morse Elementary School,,Acadia,100.0,Kindergarten
,,Northside Christian School,,Acadia,92.86,6th Grade
,,Northside Christian School,,Acadia,85.0,11th Grade
,,Northside Christian School,,Acadia,62.5,Kindergarten
,,Notre Dame High School,,Acadia,96.25,11th Grade
,,Our Mother of Peace Elementary School,,Acadia,100.0,6th Grade
,,Our Mother of Peace Elementary School,,Acadia,58.33,Kindergarten
,,Rayne Catholic Elementary School,,Acadia,96.55,6th Grade
,,Rayne Catholic Elementary School,,Acadia,80.0,Kindergarten
,,Rayne High School,,Acadia,97.66,11th Grade
,,Richard Elementary School,,Acadia,98.41,6th Grade
,,Richard Elementary School,,Acadia,86.67,Kindergarten
,,St. Francis School,,Acadia,81.82,6th Grade
,,St. Francis School,,Acadia,100.0,Kindergarten
,,St. Michael School,,Acadia,87.76,6th Grade
,,St. Michael School,,Acadia,71.74,Kindergarten
,,Elizabeth High School,,Allen,92.86,6th Grade
,,Elizabeth High School,,Allen,95.24,11th Grade
,,Elizabeth High School,,Allen,86.96,Kindergarten
,,Fairview High School,,Allen,100.0,6th Grade
,,Fairview High School,,Allen,96.55,11th Grade
,,Fairview High School,,Allen,96.67,Kindergarten
,,Kinder Elementary School,,Allen,89.77,Kindergarten
,,Kinder High School,,Allen,98.96,11th Grade
,,Kinder Middle School,,Allen,100.0,6th Grade
,,Oakdale Elementary School,,Allen,100.0,Kindergarten
,,Oakdale High School,,Allen,97.53,11th Grade
,,Oakdale Middle School,,Allen,98.9,6th Grade
,,Oberlin Elementary School,,Allen,100.0,6th Grade
,,Oberlin Elementary School,,Allen,92.86,Kindergarten
,,Oberlin High School,,Allen,100.0,11th Grade
,,Reeves High School,,Allen,100.0,6th Grade
,,Reeves High School,,Allen,100.0,11th Grade
,,Reeves High School,,Allen,84.62,Kindergarten
,,Ascension Christian Elem. & Middle School,,Ascension,94.29,6th Grade
,,Ascension Christian Elem. & Middle School,,Ascension,90.0,Kindergarten
,,Ascension Christian High School,,Ascension,97.83,11th Grade
,,Ascension Diocesan Regional School,,Ascension,100.0,6th Grade
,,Ascension Diocesan Regional School,,Ascension,100.0,11th Grade
,,Ascension Diocesan Regional School,,Ascension,95.0,Kindergarten
,,Bluff Middle School,,Ascension,97.8,6th Grade
,,Bluff Ridge Primary,,Ascension,92.47,Kindergarten
,,Bullion Primary School,,Ascension,96.0,Kindergarten
,,Central Middle School,,Ascension,99.4,6th Grade
,,Central Primary School,,Ascension,95.0,Kindergarten
,,Donaldsonville High School,,Ascension,100.0,11th Grade
,,Donaldsonville Primary School,,Ascension,98.82,Kindergarten
,,Duplessis Primary School,,Ascension,95.45,Kindergarten
,,Dutchtown High School,,Ascension,98.8,11th Grade
,,Dutchtown Middle School,,Ascension,97.64,6th Grade
,,Dutchtown Primary School,,Ascension,96.88,Kindergarten
,,Ea/Ei Catholic Partnership School,,Ascension,98.75,6th Grade
,,Ea/Ei Catholic Partnership School,,Ascension,95.59,Kindergarten
,,East Ascension High School,,Ascension,100.0,11th Grade
,,G. W. Carver Primary School,,Ascension,100.0,Kindergarten
,,Galvez Middle School,,Ascension,99.49,6th Grade
,,Galvez Primary School,,Ascension,94.85,Kindergarten
,,Gonzales Middle School,,Ascension,99.07,6th Grade
,,Gonzales Primary School,,Ascension,97.56,Kindergarten
,,Lake Elementary School,,Ascension,98.8,6th Grade
,,Lake Elementary School,,Ascension,94.44,Kindergarten
,,Lakeside Primary School,,Ascension,92.11,Kindergarten
,,Lowery Middle School,,Ascension,100.0,6th Grade
,,Oak Grove Primary School,,Ascension,93.27,Kindergarten
,,Pecan Grove Primary,,Ascension,97.06,Kindergarten
,,Prairieville High School,,Ascension,98.58,11th Grade
,,Prairieville Middle School,,Ascension,98.95,6th Grade
,,Prairieville Primary School,,Ascension,99.23,Kindergarten
,,Sorrento Primary,,Ascension,93.18,Kindergarten
,,Spanish Lake Primary School,,Ascension,95.38,Kindergarten
,,St. Amant High School,,Ascension,100.0,11th Grade
,,St. Amant Middle School,,Ascension,100.0,6th Grade
,,St. Amant Primary School,,Ascension,96.59,Kindergarten
,,Sugar Mill Primary School,,Ascension,97.89,Kindergarten
,,The Church Academy,,Ascension,87.5,6th Grade
,,The Church Academy,,Ascension,63.64,Kindergarten
,,Assumption High School,,Assumption,100.0,11th Grade
,,Bayou L'Ourse Primary School,,Assumption,95.83,Kindergarten
,,Belle Rose Middle School,,Assumption,100.0,6th Grade
,,Belle Rose Primary School,,Assumption,100.0,Kindergarten
,,Labadieville Middle School,,Assumption,100.0,6th Grade
,,Labadieville Primary School,,Assumption,97.62,Kindergarten
,,Napoleonville Middle School,,Assumption,100.0,6th Grade
,,Napoleonville Primary School,,Assumption,90.38,Kindergarten
,,Pierre Part Elementary School,,Assumption,100.0,6th Grade
,,Pierre Part Elementary School,,Assumption,97.92,Kindergarten
,,St. Elizabeth School,,Assumption,100.0,6th Grade
,,St. Elizabeth School,,Assumption,100.0,Kindergarten
,,Avoyelles High School,,Avoyelles,98.72,11th Grade
,,Avoyelles Public Charter School,,Avoyelles,90.57,Kindergarten
,,Bunkie Elementary School,,Avoyelles,100.0,6th Grade
,,Bunkie Elementary School,,Avoyelles,100.0,Kindergarten
,,Bunkie High School,,Avoyelles,99.06,11th Grade
,,Cottonport Elementary School,,Avoyelles,86.36,Kindergarten
,,Lafargue Elementary School,,Avoyelles,93.24,Kindergarten
,,Louisiana School For the Agricultural Sciences,,Avoyelles,100.0,11th Grade
