Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,BARNSTABLE COMMUNITY INNOVATION SCHOOL,,Barnstable,95.0,Kindergarten
,Public,CENTERVILLE ELEMENTARY,,Barnstable,100.0,Kindergarten
,Public,HYANNIS WEST ELEMENTARY,,Barnstable,99.0,Kindergarten
,Public,WEST BARNSTABLE ELEMENTARY,,Barnstable,94.0,Kindergarten
,Public,WEST VILLAGES ELEMENTARY SCHOOL,,Barnstable,96.0,Kindergarten
,Public,BOURNEDALE ELEMENTARY,,Barnstable,96.0,Kindergarten
,Public,STONY BROOK ELEMENTARY,,Barnstable,93.0,Kindergarten
,Public,EZRA H BAKER,,Barnstable,90.0,Kindergarten
,Public,MULLEN-HALL ELEMENTARY,,Barnstable,93.0,Kindergarten
,Public,NORTH FALMOUTH ELEMENTARY,,Barnstable,98.0,Kindergarten
,Public,TEATICKET ELEMENTARY,,Barnstable,100.0,Kindergarten
,Public,HARWICH ELEMENTARY,,Barnstable,95.0,Kindergarten
,Public,K C COOMBS SCHOOL,,Barnstable,100.0,Kindergarten
,Public,FORESTDALE ELEMENTARY SCHOOL,,Barnstable,98.0,Kindergarten
,Private,ST PIUS X SCHOOL,,Barnstable,93.0,Kindergarten
,Public,MARGUERITE E SMALL ELEMENTARY,,Barnstable,95.0,Kindergarten
,Public,STATION AVENUE ELEMENTARY,,Barnstable,91.0,Kindergarten
,Public,HOOSAC VALLEY ELEMENTARY,,Berkshire,100.0,Kindergarten
,Public,CRANEVILLE,,Berkshire,95.0,Kindergarten
,Public,MUDDY BROOK ELEMENTARY,,Berkshire,90.0,Kindergarten
,Public,KITTREDGE,,Berkshire,91.0,Kindergarten
,Public,LEE ELEMENTARY,,Berkshire,97.0,Kindergarten
,Public,MORRIS ELEMENTARY,,Berkshire,100.0,Kindergarten
,Public,BRAYTON ELEMENTARY,,Berkshire,83.0,Kindergarten
,Public,ALLENDALE ELEMENTARY,,Berkshire,100.0,Kindergarten
,Public,CROSBY ELEMENTARY,,Berkshire,94.0,Kindergarten
,Public,EGREMONT SCHOOL,,Berkshire,98.0,Kindergarten
,Public,MORNINGSIDE COMMUNITY,,Berkshire,97.0,Kindergarten
,Public,ROBERT CAPELESS SCHOOL,,Berkshire,100.0,Kindergarten
,Public,SILVIO CONTE COMMUNITY SCHOOL,,Berkshire,88.0,Kindergarten
,Public,STEARNS,,Berkshire,93.0,Kindergarten
,Public,WILLIAMS ELEMENTARY,,Berkshire,89.0,Kindergarten
,Public,WILLIAMSTOWN ELEMENTARY,,Berkshire,95.0,Kindergarten
,Public,ACUSHNET ELEMENTARY,,Bristol,93.0,Kindergarten
,Public,HILL-ROBERTS ELEMENTARY,,Bristol,99.0,Kindergarten
,Public,HYMAN FINE ELEMENTARY,,Bristol,97.0,Kindergarten
,Public,PETER THACHER ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,STUDLEY ELEMENTARY,,Bristol,100.0,Kindergarten
,Public,THOMAS E WILLETT SCHOOL,,Bristol,96.0,Kindergarten
,Public,BERKLEY COMMUNITY SCHOOL,,Bristol,99.0,Kindergarten
,Public,DEMELLO ELEMENTARY SCHOOL,,Bristol,100.0,Kindergarten
,Public,GEORGE H POTTER ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,JAMES M QUINN SCHOOL,,Bristol,95.0,Kindergarten
,Public,DIGHTON ELEMENTARY,,Bristol,97.0,Kindergarten
,Public,BLANCHE A. AMES ELEMENTARY SCHOOL,,Bristol,99.0,Kindergarten
,Public,EAST FAIRHAVEN,,Bristol,98.0,Kindergarten
,Public,LEROY WOOD SCHOOL,,Bristol,100.0,Kindergarten
,Private,HOLY TRINITY SCHOOL,,Bristol,90.0,Kindergarten
,Public,CARLTON VIVEIROS ELEMENTARY,,Bristol,99.0,Kindergarten
,Public,FRANK M SILVIA SCHOOL,,Bristol,97.0,Kindergarten
,Public,HENRY LORD COMMUNITY SCHOOL,,Bristol,99.0,Kindergarten
,Public,JAMES TANSEY ELEMENTARY,,Bristol,100.0,Kindergarten
,Public,JOHN J DORAN SCHOOL,,Bristol,100.0,Kindergarten
,Public,LETOURNEAU ELEMENTARY,,Bristol,99.0,Kindergarten
,Public,MARY FONSECA ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,SAMUEL WATSON,,Bristol,97.0,Kindergarten
,Public,SPENCER BORDEN,,Bristol,99.0,Kindergarten
,Public,WESTALL SCHOOL,,Bristol,98.0,Kindergarten
,Public,WILLIAM S GREENE,,Bristol,99.0,Kindergarten
,Public Charter,ATLANTIS CHARTER SCHOOL,,Bristol,99.0,Kindergarten
,Public,FREETOWN ELEMENTARY,,Bristol,96.0,Kindergarten
,Public,EVERETT W ROBINSON SCHOOL,,Bristol,99.0,Kindergarten
,Public,ABRAHAM LINCOLN,,Bristol,97.0,Kindergarten
,Public,ALFRED J GOMES,,Bristol,99.0,Kindergarten
,Public,BETSY WINSLOW SCHOOL,,Bristol,100.0,Kindergarten
,Public,CARLOS PACHECO ELEMENTARY,,Bristol,100.0,Kindergarten
,Public,CARNEY ACADEMY,,Bristol,98.0,Kindergarten
,Public,CHARLES S ASHLEY,,Bristol,100.0,Kindergarten
,Public,E G CAMPBELL PERFORMING ARTS MAGNET,,Bristol,97.0,Kindergarten
,Public,ELIZABETH C BROOKS,,Bristol,98.0,Kindergarten
,Public,HAYDEN-MCFADDEN,,Bristol,97.0,Kindergarten
,Public,JACOBS ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,JAMES B CONGDON,,Bristol,100.0,Kindergarten
,Public,JOHN B DEVALLES,,Bristol,100.0,Kindergarten
,Public,PULASKI,,Bristol,98.0,Kindergarten
,Public,WILLIAM H TAYLOR,,Bristol,97.0,Kindergarten
,Public Charter,ALMA DEL MAR CHARTER SCHOOL,,Bristol,100.0,Kindergarten
,Public,AMVET BLVD SCHOOL,,Bristol,98.0,Kindergarten
,Public,COMMUNITY SCHOOL,,Bristol,98.0,Kindergarten
,Public,FALLS ELEMENTARY SCHOOL,,Bristol,97.0,Kindergarten
,Public,JOSEPH W MARTIN SCHOOL,,Bristol,99.0,Kindergarten
,Public,ROOSEVELT AVENUE SCHOOL,,Bristol,100.0,Kindergarten
,Public,J.C. SOLMONESE ELEMENTARY SCHOOL,,Bristol,96.0,Kindergarten
,Public,L.G. NOURSE ELEMENTARY SCHOOL,,Bristol,100.0,Kindergarten
,Public,MERRILL ELEMENTARY,,Bristol,99.0,Kindergarten
,Public,PALMER RIVER ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,GEORGE R MARTIN SCHOOL,,Bristol,97.0,Kindergarten
,Public,MILDRED AITKEN SCHOOL,,Bristol,96.0,Kindergarten
,Public,CHACE STREET SCHOOL,,Bristol,98.0,Kindergarten
,Public,NORTH ELEMENTARY,,Bristol,96.0,Kindergarten
,Public,SOUTH ELEMENTARY SCHOOL,,Bristol,97.0,Kindergarten
,Public,GARDNER ELEMENTARY,,Bristol,99.0,Kindergarten
,Public,M.G. HOYLE ELEMENTARY,,Bristol,98.0,Kindergarten
,Public,EAST TAUNTON ELEMENTARY,,Bristol,95.0,Kindergarten
,Public,EDMUND HATCH BENNETT,,Bristol,93.0,Kindergarten
,Public,ELIZABETH POLE SCHOOL,,Bristol,98.0,Kindergarten
,Public,H H GALLIGAN SCHOOL,,Bristol,98.0,Kindergarten
,Public,JOSEPH C CHAMBERLAIN,,Bristol,95.0,Kindergarten
,Public,MULCAHEY ELEMENTARY SCHOOL,,Bristol,98.0,Kindergarten
,Public,ALICE A MACOMBER,,Bristol,97.0,Kindergarten
,Public,OAK BLUFFS ELEMENTARY,,Dukes,95.0,Kindergarten
,Public,WEST TISBURY SCHOOL,,Dukes,97.0,Kindergarten
,Public,JORDAN SHAY MEMORIAL LOWER ELEMENTARY,,Essex,91.0,Kindergarten
,Private,ST AUGUSTINE SCHOOL,,Essex,89.0,Kindergarten
,Public,BANCROFT ELEMENTARY,,Essex,100.0,Kindergarten
,Public,HENRY C SANBORN,,Essex,98.0,Kindergarten
,Public,HIGH PLAIN ELEMENTARY,,Essex,100.0,Kindergarten
,Public,SOUTH ELEMENTARY,,Essex,100.0,Kindergarten
,Public,WEST ELEMENTARY,,Essex,99.0,Kindergarten
,Public,AYERS RYAL SIDE SCHOOL,,Essex,97.0,Kindergarten
,Public,CENTERVILLE ELEMENTARY,,Essex,98.0,Kindergarten
,Public,COVE ELEMENTARY,,Essex,97.0,Kindergarten
,Public,HANNAH ELEMENTARY SCHOOL,,Essex,99.0,Kindergarten
,Public,NORTH BEVERLY SCHOOL,,Essex,94.0,Kindergarten
