Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,Beall Elementary School,,Allegany,100.00,Kindergarten
,Public,Bel Air Elementary School,,Allegany,100.00,Kindergarten
,Private (non-public),Bishop Walsh School,,Allegany,90.00,Kindergarten
,Public,Cash Valley,,Allegany,100.00,Kindergarten
,Public,Cresaptown Elementary School,,Allegany,100.00,Kindergarten
,Public,Flintstone Elementary School,,Allegany,100.00,Kindergarten
,Public,Frost Elementary,,Allegany,100.00,Kindergarten
,Public,George's Creek Elementary ,,Allegany,100.00,Kindergarten
,Public,John Humbird Elementary,,Allegany,100.00,Kindergarten
,Private (non-public),Lighthouse Christian Academy ,,Allegany,100.00,Kindergarten
,Public,Mt. Savage Elementary Middle School,,Allegany,100.00,Kindergarten
,Public,Northeast Elementary School,,Allegany,100.00,Kindergarten
,Public,Parkside Elementary,,Allegany,100.00,Kindergarten
,Public,South Penn Elementary,,Allegany,99.00,Kindergarten
,Public,West Side Elementary,,Allegany,100.00,Kindergarten
,Public,Westernport Elementary School,,Allegany,100.00,Kindergarten
,Private (non-public),Annapolis Area Christian School Severn Lower School Campus,,Anne Arundel County,100.00,Kindergarten
,Public,Annapolis Elementary School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Arundel Christian School,,Anne Arundel County,94.00,Kindergarten
,Public,Belle Grove Elementary,,Anne Arundel County,97.00,Kindergarten
,Public,Benfield Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Bodkin Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Broadneck Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Brock Bridge Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Brooklyn Park Elementary,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Calvary Baptist Church Academy ,,Anne Arundel County,100.00,Kindergarten
,Public,Cape St. Claire Elementary School,,Anne Arundel County,99.00,Kindergarten
,Public,Central Elementary School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Chesapeake Montessori School,,Anne Arundel County,100.00,Kindergarten
,Public,Crofton Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Crofton Meadows Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Crofton Woods Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Davidsonville Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Deale Elementary School ,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Divine Mercy Academy,,Anne Arundel County,89.00,Kindergarten
,Public,Edgewater Elementary School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Elvaton Christian Academy,,Anne Arundel County,100.00,Kindergarten
,Public,Folger McKinsey ES,,Anne Arundel County,100.00,Kindergarten
,Public,Fort Smallwood Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Four Seasons Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Frank Hebron Harmon Elementary School,,Anne Arundel County,4.00,Kindergarten
,Public,Freetown Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,George Cromwell Elementary School,,Anne Arundel County,92.00,Kindergarten
,Public,Germantown Elementary Scool,,Anne Arundel County,100.00,Kindergarten
,Public,Glen Burnie Park Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Glendale Elementary School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Granite Baptist School,,Anne Arundel County,85.00,Kindergarten
,Public,High Point Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Hillsmere Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Hilltop Elementary School,,Anne Arundel County,99.00,Kindergarten
,Private (non-public),Indian Creek School,,Anne Arundel County,100.00,Kindergarten
,Public,Jacobsville Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Jones Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Lothian Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Marley Elementary School,,Anne Arundel County,99.00,Kindergarten
,Public,Mayo Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Meade Heights Elementary ,,Anne Arundel County,95.00,Kindergarten
,Public,Millersville Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Monarch Academy Annapolis,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Monsignor Slade Catholic School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Montessori International Children's House,,Anne Arundel County,100.00,Kindergarten
,Public,Nantucket Elementary,,Anne Arundel County,99.00,Kindergarten
,Private (non-public),Naval Academy Primary School,,Anne Arundel County,100.00,Kindergarten
,Public,North Glen Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Oak Hill Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Oakwood Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Odenton Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Park Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Pasadena Elementary,,Anne Arundel County,100.00,Kindergarten
,Public,Piney Orchard Elementary School,,Anne Arundel County,99.00,Kindergarten
,Public,Richard Henry Lee Elementary School,,Anne Arundel County,99.00,Kindergarten
,Public,Ridgeway Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Rippling Woods Elementary School,,Anne Arundel County,100.00,Kindergarten
,Public,Riviera Beach Elementary School,,Anne Arundel County,100.00,Kindergarten
,Private (non-public),Rockbridge Academy,,Anne Arundel County,100.00,Kindergarten
,Public,Rolling Knolls Elementary ,,Anne Arundel County,98.00,Kindergarten
