Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,Alcona Community High School,51 N Barlow Rd,Alcona,97.96,7th
,Public,Alcona Elementary School,181 N Barlow Rd,Alcona,96.08,Kindergarten
,Public,Superior Central School,PO Box 148,Alger,96.00,7th
,Public,Superior Central School,PO Box 148,Alger,95.65,Kindergarten
,Public,Munising High and Middle School,810 E State Highway M28,Alger,97.44,7th
,Public,William G Mather Elementary School,411 Elm Ave,Alger,100.00,Kindergarten
,Private,Munising Baptist School,N6285 Connors Rd,Alger,80.00,7th
,Public,Hillside Learning and Behavior Center,212 Grove St,Allegan,80.00,Kindergarten
,Public,Dawson Elementary School,125 Elm St,Allegan,92.68,Kindergarten
,Public,L E White Middle School,3300 115th Ave,Allegan,100.00,7th
,Public,Pine Trails Elementary School,2950 Center St,Allegan,98.21,Kindergarten
,Public,West Ward Elementary School,630 Vernon St,Allegan,87.18,Kindergarten
,Private,St Stanislaus School,1861 136th Ave,Allegan,100.00,7th
,Private,St Stanislaus School,1861 136th Ave,Allegan,57.14,Kindergarten
,Public,Sycamore Elementary School,2163 142nd Ave,Allegan,96.88,Kindergarten
,Public,Dorr Elementary,4159 18th St,Allegan,94.34,Kindergarten
,Public,Douglas Elementary School,261 Randolph St,Allegan,95.24,Kindergarten
,Public,Fennville Elementary School,8 Memorial Dr,Allegan,95.12,Kindergarten
,Public,Fennville Middle School,1 Memorial Dr,Allegan,97.20,7th
,Public,Innocademy Allegan Campus,2611 56th St,Allegan,78.95,Kindergarten
,Public,Glenn Public School,PO Box 69,Allegan,88.89,Kindergarten
,Public,Bentheim Elementary School,4057 38th St,Allegan,96.67,Kindergarten
,Public,Hamilton Elementary School,3472 Lincoln Rd,Allegan,98.59,Kindergarten
,Public,Hamilton Middle School,4845 136th Ave,Allegan,98.25,7th
,Public,Blue Star Elementary,3846 58th St,Allegan,90.91,Kindergarten
,Public,Hamilton Virtual School,4317 46th St,Allegan,92.86,7th
,Public,Hamilton Virtual School,4317 46th St,Allegan,60.00,Kindergarten
,Public,Hopkins Elementary School,400 S Clark St,Allegan,88.24,Kindergarten
,Public,Hopkins Middle School,215 S Clark St,Allegan,99.00,7th
,Public,Alamo Elementary,8184 N 6th St,Allegan,96.77,Kindergarten
,Public,Cooper Elementary,7559 N 14th St,Allegan,95.00,Kindergarten
,Private,East Martin Christian School,516 118th Ave,Allegan,100.00,Kindergarten
,Public,Robert D Brandon Elem School,1583 University St,Allegan,92.00,Kindergarten
,Private,Moline Christian School,1253 144th Ave,Allegan,97.14,7th
,Private,Moline Christian School,1253 144th Ave,Allegan,86.49,Kindergarten
,Public,Dix Street Elementary,503 Dix St,Allegan,92.54,Kindergarten
,Public,Otsego Middle School,540 Washington St,Allegan,98.26,7th
,Public,Washington Street Elementary School,538 Washington St,Allegan,92.98,Kindergarten
,Public,Gilkey Elementary School,707 S Woodhams St,Allegan,96.97,Kindergarten
,Public,Plainwell Middle School,720 Brigham St,Allegan,98.40,7th
,Public,Starr Elementary School,601 School Dr,Allegan,98.75,Kindergarten
,Public,Saugatuck Middle School,401 Elizabeth St,Allegan,98.67,7th
,Public,Bessie B Baker School,507 W Sycamore St,Allegan,91.61,Kindergarten
,Private,St Therese Catholic School,430 S Main St,Allegan,100.00,Kindergarten
,Public,Wayland Union Middle School,701 Wildcat Dr,Allegan,96.94,7th
,Private,All Saints Catholic School,2550 S First Ave,Alpena,90.63,Kindergarten
,Public,APS Partnership,1421 Hobbs Dr,Alpena,76.92,7th
,Public,APS Partnership,1421 Hobbs Dr,Alpena,60.00,Kindergarten
,Public,Besser Elementary School,375 Wilson St,Alpena,95.24,Kindergarten
,Public,Ella M White Elementary School,201 N Ripley Blvd,Alpena,97.96,Kindergarten
,Public,Hinks Elementary School,7667 US Highway 23 N,Alpena,100.00,Kindergarten
,Private,Immanuel Lutheran School,355 Wilson St,Alpena,100.00,7th
,Private,Immanuel Lutheran School,355 Wilson St,Alpena,66.67,Kindergarten
,Public,Lincoln Elementary School,309 W Lake St,Alpena,96.15,Kindergarten
,Public,Thunder Bay Junior High School,3500 S Third Ave,Alpena,97.51,7th
,Public,Wilson Elementary School,4999 S Herron Rd,Alpena,96.77,Kindergarten
,Public,Sanborn Elementary School,12170 US Highway 23 S,Alpena,83.33,Kindergarten
,Public,Alba Public School,5935 Elm St,Antrim,100.00,7th
,Public,Alba Public School,5935 Elm St,Antrim,80.00,Kindergarten
,Public,Bellaire Public High School,204 W Forrest Home Ave,Antrim,87.50,7th
,Public,John R Rodger Elementary School,6535 John R Rodgers Rd,Antrim,80.00,Kindergarten
,Public,Central Lake Elementary School,8215 Davis St,Antrim,93.33,Kindergarten
,Public,Central Lake High School,8169 W State St,Antrim,92.86,7th
,Public,Cherryland Middle School,707 E 3rd St,Antrim,97.96,7th
,Public,Lakeland Elementary School,616 Buckley St,Antrim,94.12,Kindergarten
,Public,Ellsworth Community School,9467 Park St,Antrim,83.33,7th
,Public,Ellsworth Community School,9467 Park St,Antrim,88.89,Kindergarten
,Public,Mancelona Elementary School,231 W Limits St,Antrim,91.94,Kindergarten
,Public,Mancelona Middle School,112 St. Johns Ave,Antrim,96.15,7th
,Public,North Central Academy,5055 Corey Rd,Antrim,76.92,7th
,Public,North Central Academy,5055 Corey Rd,Antrim,63.64,Kindergarten
,Public,Mill Creek Elementary,9039 Old M 72,Antrim,96.30,Kindergarten
,Public,Au Gres - Sims  Middle School,310 S Court St,Arenac,100.00,7th
