Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,A.C.G.C. EL.,,Kandiyohi,75.0,Kindergarten
,,ACADEMIAS LA PAZ,,Ramsey,88.64,Kindergarten
,,ACHIEVE LANGUAGE ACADEMY,,Ramsey,81.4,Kindergarten
,,ADRIAN ELEMENTARY,,Nobles,85.71,Kindergarten
,,AFSA ELEMENTARY (K-6),,Ramsey,76.92,Kindergarten
,,AGAMIM CLASSICAL ACADEMY,,Hennepin,70.0,Kindergarten
,,RIPPLESIDE EL.,,Aitkin,75.81,Kindergarten
,,ALBANY AREA EARLY LEARNING CENTER,,Stearns,90.12,Kindergarten
,,AVON EL.,,Stearns,89.19,Kindergarten
,,HOLY FAMILY-ALBANY,,Stearns,71.43,Kindergarten
,,HALVERSON EL.,,Freeborn,89.13,Kindergarten
,,HAWTHORNE EL.,,Freeborn,87.72,Kindergarten
,,HOLLANDALE CHRISTIAN,,Freeborn,70.0,Kindergarten
,,LAKEVIEW EL.,,Freeborn,81.82,Kindergarten
,,SIBLEY EL.,,Freeborn,86.11,Kindergarten
,,ST THEODORES EL,,Freeborn,91.67,Kindergarten
,,ALDEN-CONGER EL.,,Freeborn,91.43,Kindergarten
,,CARLOS EL.,,Douglas,95.0,Kindergarten
,,GARFIELD EL.,,Douglas,95.0,Kindergarten
,,LINCOLN EL.,,Douglas,91.38,Kindergarten
,,MILTONA EL.,,Douglas,90.91,Kindergarten
,,ST MARYS SCHOOL,,Douglas,71.43,Kindergarten
,,VOYAGER EL.,,Douglas,91.53,Kindergarten
,,WOODLAND,,Douglas,88.89,Kindergarten
,,ZION LUTHERAN,,Douglas,65.22,Kindergarten
,,ANNANDALE EL,,Wright,84.92,Kindergarten
,,ADAMS EL.,,Anoka,88.41,Kindergarten
,,ANDOVER EL.,,Anoka,89.83,Kindergarten
,,BROOKSIDE ELEMENTARY,,Anoka,87.79,Kindergarten
,,CHAMPLIN BROOKLYN PARK ACADEMY,,Hennepin,89.66,Kindergarten
,,CROOKED LAKE ELEMENTARY,,Anoka,97.83,Kindergarten
,,CROSS OF CHRIST LUTHERAN,,Anoka,84.62,Kindergarten
,,DAYTON ELEMENTARY,,Anoka,93.67,Kindergarten
,,EISENHOWER EL.,,Anoka,98.0,Kindergarten
,,EPIPHANY EDUC CENTER,,Anoka,73.33,Kindergarten
,,EVERGREEN PARK ELEMENTARY,,Anoka,95.24,Kindergarten
,,HAMILTON ELEMENTARY,,Anoka,85.96,Kindergarten
