Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,Bethlehem Elementary,,Alexander,90.0,Kindergarten
,Public,Ellendale Elementary,,Alexander,83.33,Kindergarten
,Public,Hiddenite Elementary,,Alexander,96.0,Kindergarten
,Private,Millersville Christian Academy,,Alexander,79.31,Kindergarten
,Public,Stony Point Elementary,,Alexander,95.0,Kindergarten
,Public,Sugar Loaf Elementary,,Alexander,100.0,Kindergarten
,Public,Taylorsville Elementary,,Alexander,92.0,Kindergarten
,Public,Wittenburg Elementary,,Alexander,95.35,Kindergarten
,Public,Glade Creek Elementary,,Alleghany,92.0,Kindergarten
,Public,Piney Creek Elementary,,Alleghany,68.42,Kindergarten
,Public,Sparta Elementary,,Alleghany,86.79,Kindergarten
,Public,Ansonville Elementary School,,Anson,100.0,Kindergarten
,Public,Lilesville Elementary School,,Anson,95.45,Kindergarten
,Public,Morven Elementary School,,Anson,93.33,Kindergarten
,Public,Peachland-Polkton Elementary School,,Anson,97.8,Kindergarten
,Public,Wadesboro Primary School,,Anson,92.31,Kindergarten
,Public,Mountain View Elementary,,Ashe,97.65,Kindergarten
,Public,Westwood Elementary,,Ashe,94.74,Kindergarten
,Public,Banner Elk Elementary School,,Avery,78.26,Kindergarten
,Public,Crossnore Elementary,,Avery,96.43,Kindergarten
,Public,Freedom Trail Elementary School,,Avery,96.15,Kindergarten
,Public,Newland Elementary School,,Avery,93.33,Kindergarten
,Public,Bath Elementary,,Beaufort,94.83,Kindergarten
,Public,Chocowinity Primary,,Beaufort,98.72,Kindergarten
,Public,Eastern Elementary,,Beaufort,97.78,Kindergarten
,Public,Northeast Elementary,,Beaufort,85.45,Kindergarten
,Private,Pungo Christian Academy,,Beaufort,85.0,Kindergarten
,Private,Unity Christian Academy,,Beaufort,76.92,Kindergarten
,Public,Colerain Elementary,,Bertie,100.0,Kindergarten
,Private,Lawrence Academy,,Bertie,82.61,Kindergarten
,Public,West Bertie Elementary,,Bertie,96.15,Kindergarten
,Public,Windsor Elementary,,Bertie,94.0,Kindergarten
