Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,BIE-Operated School,Jemez Day School,,Sandoval,66.67,Kindergarten
,BIE-Operated School,Mariano Lake Community School,,Sandoval,100.00,Kindergarten
,BIE-Operated School,Ojo Encino Day School,,Sandoval,86.67,Kindergarten
,BIE-Operated School,T'siya Day School,,Sandoval,92.31,Kindergarten
,Local Charter School,Alice King Community School,,Bernalillo,94.29,Kindergarten
,Local Charter School,CHRISTINE DUNCANS HERITAGE ACADEMY ,,Bernalillo,98.00,Kindergarten
,Local Charter School,Cien Aguas International School,,Bernalillo,100.00,Kindergarten
,Local Charter School,Corrales International School,,Bernalillo,100.00,Kindergarten
,Local Charter School,Desert Willow Family Magnet School,,Bernalillo,87.10,Kindergarten
,Local Charter School,El Camino Real Academy,,Bernalillo,85.71,Kindergarten
,Local Charter School,HORIZON ACEDEMY WEST ,,Bernalillo,98.92,Kindergarten
,Local Charter School,Montessori of the Rio Grande Charter School,,Bernalillo,89.47,Kindergarten
,Local Charter School,Mountain Mahogany Community School,,Bernalillo,73.68,Kindergarten
,Local Charter School,New Mexico International School,,Bernalillo,94.64,Kindergarten
,Local Charter School,RIO GRANDE ACADEMY OF FINE ARTS ,,Bernalillo,95.45,Kindergarten
,Local Charter School,San Diego Riverside Charter School,,Sandoval,33.33,Kindergarten
,Local Charter School,SANDOVAL ACADEMY OF BILINGUAL EDUCATION ,,Sandoval,92.59,Kindergarten
,Private,Albuquerque Christian School ,,Bernalillo,63.64,Kindergarten
,Private,Calvary Christian Academy,,Bernalillo,36.36,Kindergarten
,Private,Christ Lutheran School,,Bernalillo,100.00,Kindergarten
,Private,Christian Heritage Academy,,Bernalillo,100.00,Kindergarten
,Private,Congregation Albert Early Childhood Center,,Bernalillo,100.00,Kindergarten
,Private,Crestview SDA Academy,,Bernalillo,66.67,Kindergarten
,Private,Cross of Hope Lutheran Elementary School,,Bernalillo,100.00,Kindergarten
,Private,Eastern Hills Christian Academy,,Bernalillo,84.62,Kindergarten
,Private,Evangel Christian Academy,,Bernalillo,50.00,Kindergarten
,Private,Holy Child Catholic School,,Bernalillo,88.89,Kindergarten
,Private,Holy Ghost Catholic School,,Bernalillo,100.00,Kindergarten
,Private,Hope Christian Elementary School,,Bernalillo,95.28,Kindergarten
,Private,Immanuel Lutheran School,,Bernalillo,100.00,Kindergarten
,Private,Legacy Academy,,Bernalillo,84.00,Kindergarten
,Private,Manzano Day School,,Bernalillo,100.00,Kindergarten
,Private,Mountain View Private School,,Bernalillo,90.00,Kindergarten
,Private,Oak Grove Classical Academy,,Bernalillo,71.43,Kindergarten
,Private,Our Lady of the Assumption Catholic School,,Bernalillo,50.00,Kindergarten
,Private,Our Montessori School,,Bernalillo,100.00,Kindergarten
,Private,Paradise Christian School,,Bernalillo,40.00,Kindergarten
,Private,Salam Academy,,Bernalillo,87.50,Kindergarten
,Private,San Felipe de Neri School,,Bernalillo,81.25,Kindergarten
,Private,Shepherd Lutheran School,,Bernalillo,50.00,Kindergarten
,Private,St Marys Schools ,,Bernalillo,93.75,Kindergarten
,Private,St. Charles Borromeo,,Bernalillo,83.33,Kindergarten
,Private,St. Mary's Catholic School,,Bernalillo,93.55,Kindergarten
,Private,St. Therese Catholic School,,Bernalillo,100.00,Kindergarten
,Private,Sunset Mesa School,,Bernalillo,60.00,Kindergarten
,Private,Western Heights Learning Center,,Bernalillo,70.59,Kindergarten
,Private,COTTONWOOD SCHOOL,,Sandoval,92.86,Kindergarten
,Private,Gospel Light Baptist Academy,,Sandoval,57.89,Kindergarten
,Private,Sandia View Christian School,,Sandoval,71.43,Kindergarten
,Private,St Thomas Aquinas School,,Sandoval,100.00,Kindergarten
,Private,The Cottonwood School,,Sandoval,92.31,Kindergarten
,Private,Canon Christian Academy,,Valencia,100.00,Kindergarten
,Regular Public School,A Montoya Elementary School,,Bernalillo,90.91,Kindergarten
,Regular Public School,Adobe Acres Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Alameda Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Alamosa Elementary School ,,Bernalillo,96.77,Kindergarten
,Regular Public School,Alvarado Elementary,,Bernalillo,96.30,Kindergarten
,Regular Public School,Apache Elementary ,,Bernalillo,87.50,Kindergarten
,Regular Public School,Armijo Elementary School,,Bernalillo,91.67,Kindergarten
,Regular Public School,Arroyo Del Oso Elementary School,,Bernalillo,95.65,Kindergarten
,Regular Public School,Atrisco Elementary School,,Bernalillo,89.29,Kindergarten
,Regular Public School,Aztec - Stephen Moody Complex,,Bernalillo,100.00,Kindergarten
,Regular Public School,Bandelier Elementary School,,Bernalillo,90.00,Kindergarten
,Regular Public School,Barcelona,,Bernalillo,100.00,Kindergarten
,Regular Public School,Bel Air,,Bernalillo,90.48,Kindergarten
,Regular Public School,Bellehaven Elementary School,,Bernalillo,96.77,Kindergarten
,Regular Public School,Carlos Rey Elementary,,Bernalillo,89.47,Kindergarten
,Regular Public School,Chamiza Elementary,,Bernalillo,100.00,Kindergarten
,Regular Public School,Chaparral Elementary,,Bernalillo,90.41,Kindergarten
,Regular Public School,Chelwood Elementary,,Bernalillo,94.00,Kindergarten
,Regular Public School,Cochiti Elementary School,,Bernalillo,96.88,Kindergarten
,Regular Public School,Collet Park Elementary School,,Bernalillo,97.01,Kindergarten
,Regular Public School,Comanche Elementary School,,Bernalillo,96.36,Kindergarten
,Regular Public School,Coronado Dual Language Magnet Elementary ,,Bernalillo,98.31,Kindergarten
,Regular Public School,Coyote Willow Magnet School,,Bernalillo,90.00,Kindergarten
,Regular Public School,Dennis Chavez Elementary School,,Bernalillo,96.67,Kindergarten
,Regular Public School,Dolores Gonzales Elementary ,,Bernalillo,100.00,Kindergarten
,Regular Public School,Double Eagle Elementary School,,Bernalillo,97.44,Kindergarten
,Regular Public School,Douglas MacArthur Elementary School,,Bernalillo,90.00,Kindergarten
,Regular Public School,Duranes Elementary School,,Bernalillo,93.75,Kindergarten
,Regular Public School,East San Jose Elementary School,,Bernalillo,91.84,Kindergarten
,Regular Public School,EG Ross Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Emerson Elementary,,Bernalillo,82.00,Kindergarten
,Regular Public School,Eugene Field Elementary School,,Bernalillo,90.48,Kindergarten
,Regular Public School,George I Sanchez Collaborative Community School,,Bernalillo,95.56,Kindergarten
,Regular Public School,Georgia O'Keeffe ES,,Bernalillo,97.37,Kindergarten
,Regular Public School,Governor Bent Elementary,,Bernalillo,91.53,Kindergarten
,Regular Public School,Griegos Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Hawthorne Elementary School,,Bernalillo,97.92,Kindergarten
,Regular Public School,Helen Cordero Primary School,,Bernalillo,99.03,Kindergarten
,Regular Public School,Hodgin Elementary School,,Bernalillo,82.81,Kindergarten
,Regular Public School,Hubert Humphrey Elementary School,,Bernalillo,94.92,Kindergarten
,Regular Public School,Inez Elementary School,,Bernalillo,93.18,Kindergarten
,Regular Public School,Janet Kahn School of Integrated Arts,,Bernalillo,92.86,Kindergarten
,Regular Public School,John Baker Elementary School,,Bernalillo,91.67,Kindergarten
,Regular Public School,Kirtland Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Kit Carson Elementary School,,Bernalillo,98.08,Kindergarten
,Regular Public School,La Mesa Elementary School,,Bernalillo,92.00,Kindergarten
,Regular Public School,Lavaland Elementary,,Bernalillo,96.43,Kindergarten
,Regular Public School,Lew Wallace Elementary,,Bernalillo,90.91,Kindergarten
,Regular Public School,Longfellow Elementary,,Bernalillo,96.30,Kindergarten
,Regular Public School,Los Padillas Elementary School,,Bernalillo,92.59,Kindergarten
,Regular Public School,Los Ranchos Elementary,,Bernalillo,96.00,Kindergarten
,Regular Public School,Lowell Elementary,,Bernalillo,85.19,Kindergarten
,Regular Public School,Manzano Mesa ES,,Bernalillo,89.55,Kindergarten
,Regular Public School,Marie Hughes Elementary,,Bernalillo,94.74,Kindergarten
,Regular Public School,Mark Twain Elementary,,Bernalillo,97.44,Kindergarten
,Regular Public School,Mary Ann Binford Elementary School,,Bernalillo,98.65,Kindergarten
,Regular Public School,Matheson Park Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,McCollum Elementary School,,Bernalillo,97.50,Kindergarten
,Regular Public School,Mission Avenue Elementary,,Bernalillo,100.00,Kindergarten
,Regular Public School,Mitchell Elementary School,,Bernalillo,89.13,Kindergarten
,Regular Public School,Monte Vista Elementary School,,Bernalillo,98.15,Kindergarten
,Regular Public School,Montezuma Elementary,,Bernalillo,81.63,Kindergarten
,Regular Public School,Mountain View,,Bernalillo,100.00,Kindergarten
,Regular Public School,Navajo Elementary School,,Bernalillo,82.69,Kindergarten
,Regular Public School,New Mexico School for the Blind and Visually Impaired,,Bernalillo,93.75,Kindergarten
,Regular Public School,North Star Elementary,,Bernalillo,96.59,Kindergarten
,Regular Public School,Onate Elementary,,Bernalillo,100.00,Kindergarten
,Regular Public School,Osuna Elementary School,,Bernalillo,100.00,Kindergarten
,Regular Public School,Painted Sky Elementary School,,Bernalillo,91.78,Kindergarten
,Regular Public School,Pajarito Elementary,,Bernalillo,100.00,Kindergarten
,Regular Public School,Petroglyph Elementary School,,Bernalillo,89.23,Kindergarten
,Regular Public School,Reginald Chavez Elementary,,Bernalillo,82.35,Kindergarten
,Regular Public School,Route 66 Elementary,,Bernalillo,86.27,Kindergarten
,Regular Public School,Rudolfo Anaya Elementary School ,,Bernalillo,95.18,Kindergarten
,Regular Public School,San Antonito STEM Magnet Elementary,,Bernalillo,92.68,Kindergarten
,Regular Public School,Sandia Base Elementary,,Bernalillo,95.83,Kindergarten
,Regular Public School,Seven Bar Elementary,,Bernalillo,96.30,Kindergarten
,Regular Public School,Sierra Vista E.S. ,,Bernalillo,95.83,Kindergarten
,Regular Public School,Sombra Del Monte Elementary,,Bernalillo,85.71,Kindergarten
,Regular Public School,Stephen Moody Complex-Aztec,,Bernalillo,100.00,Kindergarten
,Regular Public School,Sunset View,,Bernalillo,96.30,Kindergarten
,Regular Public School,Susie Rayos Marmon Elementary ,,Bernalillo,90.91,Kindergarten
,Regular Public School,SY Jackson Elementary,,Bernalillo,94.12,Kindergarten
,Regular Public School,Tierra Antigua Elementary School,,Bernalillo,98.13,Kindergarten
,Regular Public School,Tomasita Elementary School,,Bernalillo,89.19,Kindergarten
,Regular Public School,Tres Volcanes Community Collaborative,,Bernalillo,96.15,Kindergarten
,Regular Public School,Valle Vista Elementary School,,Bernalillo,97.73,Kindergarten
,Regular Public School,Ventana Ranch Elementary,,Bernalillo,98.82,Kindergarten
,Regular Public School,Wherry Elementary School,,Bernalillo,97.14,Kindergarten
,Regular Public School,Whittier Elementary,,Bernalillo,100.00,Kindergarten
,Regular Public School,Zia Elementary School,,Bernalillo,93.55,Kindergarten
,Regular Public School,Zuni Elementary,,Bernalillo,96.97,Kindergarten
,Regular Public School,Algodones Elementary,,Sandoval,91.18,Kindergarten
,Regular Public School,Cielo Azul Elementary School,,Sandoval,98.85,Kindergarten
,Regular Public School,Cochiti Elementary & Middle School,,Sandoval,100.00,Kindergarten
,Regular Public School,Colinas Del Norte Elementary ,,Sandoval,97.67,Kindergarten
,Regular Public School,Corrales K6,,Sandoval,98.00,Kindergarten
,Regular Public School,Cuba Elementary & Middle School,,Sandoval,84.85,Kindergarten
