Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
280211030004.0,Public School,SCHOOL 4,,Nassau,99.62,All Grades
662300010038.0,Public School,LINCOLN H S,,Westchester,99.74,All Grades
680601060005.0,Public School,PENN YAN ELEM SCHOOL,,Yates,100.0,All Grades
161502120001.0,Private School,HIDDEN PINES,,Franklin,77.78,All Grades
461300010008.0,Public School,OSWEGO S H S,,Oswego,99.91,All Grades
332000229822.0,Private School,GAN YISROEL - 15TH AVE,,Kings,89.29,All Grades
440601977423.0,"Schools, OCFS - 100",GOSHEN SECURE CENTER,,Orange,100.0,All Grades
530600010017.0,Public School,YATES SCHOOL,,Schenectady,100.0,All Grades
411701040002.0,Public School,REMSEN J S H S,,Oneida,100.0,All Grades
331500229996.0,Private School,YESHIVA BETH JOSEPH ZVI DUSHINSKY,,Kings,100.0,All Grades
520401040009.0,Public School,CORINTH ELEMENTARY SCHOOL,,Saratoga,100.0,All Grades
321100806052.0,Private School,WAKE EDEN CHRISTIAN ACADEMY,,Bronx,100.0,All Grades
140600010133.0,Public School,PS 131 ACADEMY SCHOOL @86,,Erie,100.0,All Grades
430300999235.0,Private School,SANDY KNOLL SCHOOL,,Ontario,58.62,All Grades
141401060009.0,Public School,LAKE SHORE CENTRAL MS,,Erie,100.0,All Grades
161501060014.0,Public School,FRANKLIN ACADEMY H S,,Franklin,100.0,All Grades
261600010015.0,Public School,SCHOOL 15 CHILDREN'S SCHOOL OF ROCHESTER (THE)- see school 28 for lead rpting,,Monroe,98.87,All Grades
261600010112.0,Public School,LORETTA JOHNSON MIDDLE SCHOOL,,Monroe,100.0,All Grades
500101060002.0,Public School,BARDONIA ELEM SCHOOL,,Rockland,99.43,All Grades
660900010023.0,Public School,LONGFELLOW MIDDLE SCHOOL,,Westchester,100.0,All Grades
80601040002.0,Public School,GREENE INTERMEDIATE SCHOOL,,Chenango,100.0,All Grades
660102060006.0,Public School,FOX LANE H S,,Westchester,99.91,All Grades
181302040000.0,School District,PEMBROKE CENTRAL SCHOOL,,Genesee,98.63,All Grades
261501060007.0,Public School,CHURCHVILLE-CHILI MIDDLE SCHOOL,,Monroe,99.83,All Grades
641401040001.0,Public School,PUTNAM CENTRAL SCHOOL,,Washington,100.0,All Grades
241001060003.0,Public School,DANSVILLE HS,,Livingston,100.0,All Grades
130200805048.0,Private School,NEW COVENANT LEARNING CENTER,,Dutchess,93.94,All Grades
181101040006.0,Public School,OAKFIELD ALABAMA ELEM SCHOOL,,Genesee,99.65,All Grades
280202227573.0,Private School,HEBREW ACADEMY OF NASSAU COUNTY - MS/HS,,Nassau,100.0,All Grades
161401155868.0,Private School,ST BERNARDS SCHOOL,,Franklin,98.61,All Grades
261401060001.0,Public School,ALLEN CREEK SCHOOL,,Monroe,100.0,All Grades
541102060002.0,Public School,COBLESKILL RICH HS,,Schoharie,100.0,All Grades
580909999588.0,Private School,HAYGROUND SCHOOL,,Suffolk,93.85,All Grades
342700229329.0,Private School,MERCAZ HATORAH OF BELLE HARBOR,,Queens,100.0,All Grades
261600010023.0,Public School,SCHOOL 23 FRANCIS PARKER,,Monroe,99.67,All Grades
62601659167.0,Private School,PLEASANT VALLEY SCHOOL,,Chautauqua,15.38,All Grades
280201030002.0,Public School,FULTON SCHOOL,,Nassau,99.49,All Grades
80201040003.0,Public School,GUILFORD ES,,Chenango,99.08,All Grades
261801060003.0,Public School,BROCKPORT H S,,Monroe,99.9,All Grades
440301060002.0,Public School,CORNWALL ON HUDSON ELEM SCHOOL,,Orange,100.0,All Grades
31401060000.0,School District,WHITNEY POINT CENTRAL SCHOOL DISTRICT,,Broome,99.84,All Grades
490301115686.0,Private School,HOLY SPIRIT SCHOOL,,Rensselaer,100.0,All Grades
610801040003.0,Public School,LANSING MIDDLE SCHOOL,,Tompkins,100.0,All Grades
331400226446.0,Private School,BETH RACHEL SCHOOL FOR GIRLS - 60,,Kings,99.43,All Grades
22101040000.0,School District,WHITESVILLE CENTRAL SCHOOL DISTRICT,,Allegany,99.09,All Grades
661100010001.0,Public School,HENRY BARNARD ELEM SCHOOL,,Westchester,100.0,All Grades
661500010009.0,Public School,PEEKSKILL H S,,Westchester,99.91,All Grades
280522030001.0,Public School,ALBANY AVENUE ELEM SCHOOL,,Nassau,99.81,All Grades
660102060003.0,Public School,MT KISCO ELEM SCHOOL,,Westchester,99.8,All Grades
170801040001.0,Public School,MAYFIELD ELEM SCHOOL,,Fulton,100.0,All Grades
580234020002.0,Public School,EAST MORICHES ELEMENTARY SCHOOL,,Suffolk,100.0,All Grades
411501060003.0,Public School,HUGHES ELEM SCHOOL,,Oneida,99.59,All Grades
31701060004.0,Public School,PALMER ELEM/WINDSOR MS,,Broome,99.61,All Grades
571502060002.0,Public School,CANISTEO-GREENWOOD ELEM/MIDDLE SCHOOL,,Steuben,100.0,All Grades
230901040001.0,Public School,LOWVILLE ELEMENTARY SCHOOL,,Lewis,100.0,All Grades
141601060006.0,Public School,HAMBURG JHS,,Erie,100.0,All Grades
