Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,BAKER ADVENTIST CHRISTIAN SCHOOL,,Baker,91.7,K-12
,,BAKER EARLY LEARNING COLLABORATIVE,,Baker,88.1,K-12
,,BAKER HIGH SCHOOL,,Baker,94.0,K-12
,,BAKER MIDDLE SCHOOL,,Baker,92.3,K-12
,,Baker Virtual Academy,,Baker,96.2,K-12
,,BAKER WEB ACADEMY,,Baker,82.8,K-12
,,BROOKLYN PRIMARY SCHOOL,,Baker,89.7,K-12
,,BURNT RIVER SCHOOL DISTRICT,,Baker,79.3,K-12
,,EAGLE CAP HIGH SCHOOL,,Baker,100.0,K-12
,,HAINES ELEMENTARY SCHOOL,,Baker,91.1,K-12
,,HARVEST CHRISTIAN ACADEMY,,Baker,86.6,K-12
,,HUNTINGTON SCHOOL DISTRICT 16J,,Baker,95.4,K-12
,,KEATING ELEMENTARY SCHOOL,,Baker,82.1,K-12
,,PINE EAGLE CHARTER SCHOOL,,Baker,87.8,K-12
,,SOUTH BAKER INTERMEDIATE,,Baker,95.6,K-12
,,Adams Elementary School,,Benton,92.5,K-12
,,Alsea K-12 Campus,,Benton,94.2,K-12
,,Ashbrook Independent School,,Benton,97.5,K-12
,,Bessie Coleman Elementary (formerly Hoover aka Husky Elementary School,,Benton,95.6,K-12
,,Blodgett Elementary School,,Benton,95.8,K-12
,,Cheldelin Middle School,,Benton,96.5,K-12
,,Clemens Primary School,,Benton,94.2,K-12
,,Corvallis High School,,Benton,95.2,K-12
,,Corvallis Waldorf School,,Benton,83.2,K-12
,,Crescent Valley High School,,Benton,97.2,K-12
,,Farm Home School - LBLESD,,Benton,100.0,K-12
,,FH-Wake Robin School,,Benton,90.9,K-12
,,Franklin K-8 Grades,,Benton,98.1,K-12
,,Garfield Elementary School,,Benton,98.1,K-12
,,Kathryn Jones Harrison Elementary (formerly Jaguar (formerly Jefferson) Elementary School,,Benton,96.4,K-12
,,Kings Valley Charter School k-12,,Benton,92.2,K-12
,,Letitia Carson Elementary (formerly Wilson (aka Wildcat) Elementary School,,Benton,94.8,K-12
,,Lincoln Elementary School,,Benton,94.5,K-12
,,Linus Pauling Middle School,,Benton,96.3,K-12
,,Monroe High School,,Benton,97.2,K-12
,,Monroe K-8 School,,Benton,94.0,K-12
,,Mountain View Elementary School,,Benton,97.2,K-12
,,Muddy Creek Charter School,,Benton,80.4,K-12
,,North Albany Elementary School,,Benton,92.8,K-12
,,North Albany Middle School,,Benton,97.6,K-12
,,Oak Grove Elementary School,,Benton,96.4,K-12
,,Philomath Academy,,Benton,95.7,K-12
,,Philomath Elementary School,,Benton,95.9,K-12
,,Philomath High School,,Benton,96.3,K-12
,,Philomath Middle School,,Benton,96.2,K-12
,,Roots Christian School,,Benton,79.2,K-12
,,Santiam Christian Schools,,Benton,92.9,K-12
,,Zion Lutheran School,,Benton,94.5,K-12
,,Adrienne C. Nelson High School,,Clackamas,97.0,K-12
,,ALDER CREEK MIDDLE SCHOOL,,Clackamas,97.4,K-12
,,ALLIANCE CHARTER ACADEMY,,Clackamas,69.5,K-12
,,ARBOR SCHOOL OF ARTS & SCIENCES,,Clackamas,94.6,K-12
,,ARDENWALD ELEMENTARY,,Clackamas,95.3,K-12
,,ATHEY CREEK MIDDLE SCHOOL,,Clackamas,95.3,K-12
,,BAKER PRAIRIE MIDDLE SCHOOL,,Clackamas,96.4,K-12
,,Beatrice Morrow Cannady Elementary,,Clackamas,96.2,K-12
,,BEAVERCREEK ELEMENTARY,,Clackamas,91.3,K-12
,,BILQUIST ELEMENTARY,,Clackamas,98.0,K-12
,,BOECKMAN CREEK PRIMARY,,Clackamas,93.0,K-12
,,BOLTON PRIMARY,,Clackamas,94.3,K-12
,,Boones Ferry Primary School,,Clackamas,96.1,K-12
,,BORING MIDDLE SCHOOL,,Clackamas,95.8,K-12
,,BUTTE CREEK SCHOOL,,Clackamas,75.5,K-12
,,CANBY HIGH SCHOOL,,Clackamas,95.3,K-12
,,CANDY LANE ELEMENTARY,,Clackamas,97.6,K-12
,,CARUS ELEMENTARY,,Clackamas,87.8,K-12
,,CASCADE HEIGHTS PUBLIC CHARTER SCHOOL,,Clackamas,94.3,K-12
,,CEDAR RIDGE MIDDLE SCHOOL,,Clackamas,95.3,K-12
,,CEDAROAK PARK PRIMARY,,Clackamas,93.1,K-12
,,CHRIST THE KING PARISH SCHOOL,,Clackamas,95.4,K-12
,,CHRIST THE VINE EARLY CHILDHOOD CENTER,,Clackamas,83.3,K-12
,,Clackamas Academy of Industrial Sciences (CAIS),,Clackamas,87.9,K-12
,,Clackamas High School,,Clackamas,97.1,K-12
,,CLACKAMAS MIDDLE COLLEGE,,Clackamas,76.5,K-12
,,CLACKAMAS RIVER ELEMENTARY,,Clackamas,93.4,K-12
,,CLACKAMAS WEB ACADEMY 6-12,,Clackamas,77.7,K-12
,,CLACKAMAS WEB ACADEMY K-5,,Clackamas,74.1,K-12
,,CLARKES ELEMENTARY,,Clackamas,87.3,K-12
,,COLTON ELEMENTARY,,Clackamas,93.4,K-12
,,COLTON HIGH SCHOOL,,Clackamas,94.7,K-12
,,COLTON MIDDLE SCHOOL,,Clackamas,90.4,K-12
,,COUNTRY CHRISTIAN SCHOOL,,Clackamas,86.2,K-12
,,DAMASCUS CHRISTIAN SCHOOL,,Clackamas,81.1,K-12
,,Down to Earth Forest School,,Clackamas,55.6,K-12
,,ECCLES ELEMENTARY,,Clackamas,95.5,K-12
,,ESTACADA HIGH SCHOOL,,Clackamas,97.6,K-12
,,ESTACADA MIDDLE SCHOOL,,Clackamas,96.4,K-12
,,FIRWOOD ELEMENTARY,,Clackamas,89.5,K-12
,,FOREST HILLS ELEMENTARY,,Clackamas,96.8,K-12
,,GAFFNEY LANE ELEMENTARY,,Clackamas,95.3,K-12
,,GARDINER MIDDLE SCHOOL,,Clackamas,95.5,K-12
,,GLADSTONE CENTER FOR CHILDREN,,Clackamas,92.9,K-12
,,GLADSTONE HIGH SCHOOL,,Clackamas,97.6,K-12
,,GOOD SHEPHERD SCHOOL,,Clackamas,73.9,K-12
,,GRAND VIEW CHRISTIAN ACADEMY,,Clackamas,54.6,K-12
,,HALLINAN ELEMENTARY,,Clackamas,95.4,K-12
,,HAPPY VALLEY ELEMENTARY,,Clackamas,91.8,K-12
,,HAPPY VALLEY MIDDLE SCHOOL,,Clackamas,96.6,K-12
,,HARMONY ACADEMY,,Clackamas,94.7,K-12
,,Heron Creek Therapeutic Program - Elementary,,Clackamas,100.0,K-12
,,Heron Creek Therapeutic Program - High School,,Clackamas,94.7,K-12
,,Heron Creek Therapeutic Program - Middle School,,Clackamas,93.3,K-12
,,HILLSVIEW MONTESSORI SCHOOL,,Clackamas,80.0,K-12
,,HOLCOMB ELEMENTARY,,Clackamas,92.6,K-12
,,HOOD VIEW ADVENTIST SCHOOL,,Clackamas,83.7,K-12
,,International Leadership Academy (La Creche),,Clackamas,95.0,K-12
,,INZA WOOD MIDDLE SCHOOL,,Clackamas,96.9,K-12
,,JOHN MCLOUGHLIN ELEMENTARY,,Clackamas,93.6,K-12
,,JOHN WETTEN ELEMENTARY,,Clackamas,95.4,K-12
,,KELSO ELEMENTARY,,Clackamas,94.5,K-12
,,KRAXBERGER MIDDLE SCHOOL,,Clackamas,94.3,K-12
,,LA SALLE CATHOLIC COLLEGE PREPARATORY,,Clackamas,95.5,K-12
,,LAKE GROVE ELEMENTARY,,Clackamas,96.0,K-12
,,LAKE OSWEGO HIGH SCHOOL,,Clackamas,97.6,K-12
,,Lake Oswego Middle School,,Clackamas,96.9,K-12
,,LAKERIDGE HIGH SCHOOL,,Clackamas,97.4,K-12
,,LAKERIDGE MIDDLE SCHOOL,,Clackamas,95.8,K-12
,,LEEP - Happy Valley Elementary,,Clackamas,81.8,K-12
,,LEEP - Lewelling Elementary,,Clackamas,100.0,K-12
,,LINWOOD ELEMENTARY,,Clackamas,91.4,K-12
,,LOSD TRANSITION,,Clackamas,92.3,K-12
,,Lot Whitcomb Elementary,,Clackamas,95.3,K-12
,,LOWRIE PRIMARY SCHOOL,,Clackamas,93.3,K-12
,,Ma'ayan Ha Torah Day School,,Clackamas,97.3,K-12
,,Meridian Creek Middle School,,Clackamas,95.3,K-12
,,MILWAUKIE ACADEMY OF THE ARTS,,Clackamas,91.1,K-12
,,Milwaukie El Puente Elementary,,Clackamas,95.4,K-12
,,MILWAUKIE HIGH SCHOOL,,Clackamas,97.1,K-12
,,MOLALLA ELEMENTARY,,Clackamas,92.2,K-12
,,MOLALLA HIGH SCHOOL,,Clackamas,97.0,K-12
,,MOLALLA RIVER ACADEMY,,Clackamas,89.3,K-12
,,MOLALLA RIVER MIDDLE SCHOOL,,Clackamas,95.1,K-12
,,MT SCOTT ELEMENTARY,,Clackamas,92.1,K-12
,,MULINO ELEMENTARY,,Clackamas,85.5,K-12
,,NAAS ELEMENTARY,,Clackamas,92.1,K-12
,,New Urban High School,,Clackamas,97.9,K-12
,,New Urban ONLINE,,Clackamas,94.0,K-12
,,NINETY ONE SCHOOL,,Clackamas,85.6,K-12
,,NORTH CLACKAMAS CHRISTIAN SCHOOL,,Clackamas,89.6,K-12
,,OAK CREEK ELEMENTARY,,Clackamas,98.0,K-12
,,OAK GROVE ELEMENTARY,,Clackamas,94.4,K-12
,,OneSchool Global Portland Campus,,Clackamas,100.0,K-12
,,OREGON CITY CHRISTIAN ACADEMY,,Clackamas,100.0,K-12
,,OREGON CITY HIGH SCHOOL,,Clackamas,97.2,K-12
,,OREGON CITY SERVICE LEARNING ACADEMY,,Clackamas,94.3,K-12
,,OREGON TRAIL ACADEMY,,Clackamas,93.6,K-12
,,OREGON TRAIL ELEMENTARY,,Clackamas,95.9,K-12
,,OUR LADY OF THE LAKE,,Clackamas,99.2,K-12
,,Paideia Classical Christian School,,Clackamas,59.3,K-12
,,Palisades World Language School,,Clackamas,94.8,K-12
,,PARK ACADEMY,,Clackamas,94.7,K-12
,,PARROTT CREEK RANCH,,Clackamas,100.0,K-12
,,PHILANDER LEE ELEMENTARY,,Clackamas,91.0,K-12
,,PORTLAND WALDORF SCHOOL,,Clackamas,76.0,K-12
,,REDLAND ELEMENTARY,,Clackamas,91.7,K-12
,,RESURRECTION CATHOLIC Parish School,,Clackamas,87.1,K-12
,,REX PUTNAM HIGH SCHOOL,,Clackamas,97.8,K-12
,,RIVER GROVE ELEMENTARY,,Clackamas,92.6,K-12
,,RIVER MILL ELEMENTARY,,Clackamas,90.9,K-12
,,RIVERGATE ADVENTIST ELEMENTARY AND CHILDCARE,,Clackamas,68.3,K-12
,,RIVERSIDE ELEMENTARY,,Clackamas,94.3,K-12
,,Riverside High School,,Clackamas,95.7,K-12
,,ROCK CREEK MIDDLE SCHOOL,,Clackamas,95.8,K-12
,,ROSEMONT RIDGE MIDDLE SCHOOL,,Clackamas,96.8,K-12
