,Facility Number,School Type,School District or Name,Facility Address,Age Group,MMR Vaccination Rate,County
0,121131507,,Carbon Career & Technical Institute,150 West 13th Street,12th Grade,96.33,Carbon
1,121135003,,Jim Thorpe Area HS,1 Olympian Way,12th Grade,90.91,Carbon
2,121135003,,L B Morris El Sch,150 W 10th St,Kindergarten,95.59,Carbon
3,121135003,,L B Morris El Sch,150 W 10th St,7th Grade,97.47,Carbon
4,121135503,,Lehighton Area Elementary Center,3 Indian Ln,Kindergarten,96.18,Carbon
5,121135503,,Lehighton Area HS,1 Indian Lane,12th Grade,98.51,Carbon
6,121136503,,Palmerton Area HS,3525 Fireline Rd,12th Grade,97.46,Carbon
7,121136503,,Palmerton Area JHS,3529 Fireline Rd,7th Grade,95.68,Carbon
8,121136603,,Panther Valley JSHS,912 Coal Region Way,7th Grade,98.64,Carbon
9,121136603,,Panther Valley JSHS,912 Coal Region Way,12th Grade,99.02,Carbon
10,121136503,,Parkside Education Center,680 Fourth Street,Kindergarten,92.41,Carbon
11,121135003,,Penn-Kidder Campus,2850 State Route 903,Kindergarten,90.0,Carbon
12,121135003,,Penn-Kidder Campus,2850 State Route 903,7th Grade,100.0,Carbon
13,121136503,,Towamensing El Sch,7920 Interchange Rd,Kindergarten,90.7,Carbon
14,121139004,,Weatherly Area El Sch,602 6th St,Kindergarten,91.3,Carbon
15,121139004,,Weatherly Area MS,602 6th St,7th Grade,96.3,Carbon
16,121139004,,Weatherly Area SHS,601 6th St,12th Grade,97.92,Carbon
17,119350303,,Abington Heights HS,222 Noble Road,12th Grade,98.86,Lackawanna
18,119350303,,Abington Heights MS,1555 Newton Ransom Blvd,7th Grade,96.96,Lackawanna
19,219359001,,All Saints Academy,1425 Jackson Street,Kindergarten,100.0,Lackawanna
20,219359001,,All Saints Academy,1425 Jackson Street,7th Grade,100.0,Lackawanna
21,119351303,,Carbondale Area JSHS,101 Brooklyn Street,7th Grade,100.0,Lackawanna
22,119351303,,Carbondale Area JSHS,101 Brooklyn Street,12th Grade,100.0,Lackawanna
23,119351303,,Carbondale El Sch,103 Brooklyn St,Kindergarten,99.19,Lackawanna
24,119357402,,Charles Sumner #18,North Sumner Ave & Swetland St,Kindergarten,100.0,Lackawanna
25,119350303,,Clarks Summit El Sch,401 W Grove St,Kindergarten,98.53,Lackawanna
26,119352203,,Dunmore El Ctr,300 W Warren St,Kindergarten,92.04,Lackawanna
27,119352203,,Dunmore JSHS,300 W Warren St,7th Grade,100.0,Lackawanna
28,119352203,,Dunmore JSHS,300 W Warren St,12th Grade,100.0,Lackawanna
29,119357402,,Frances Willard #32,1100 Eynon St,Kindergarten,100.0,Lackawanna
30,219351201,,Holy Cross High School Dunmore Campus,501 East Drinker Street,12th Grade,97.14,Lackawanna
31,119355028,,Howard Gardner Multiple Intelligence CS,1615 East Elm Street,Kindergarten,100.0,Lackawanna
32,119355028,,Howard Gardner Multiple Intelligence CS,1615 East Elm Street,7th Grade,97.22,Lackawanna
33,119357402,,Isaac Tripp El Sch,1000 North Everett Avenue,Kindergarten,95.87,Lackawanna
34,119356503,,Jefferson El Sch,825 Lions Rd,Kindergarten,96.3,Lackawanna
35,119357402,,John Adams #4,927 Capouse Ave,Kindergarten,95.24,Lackawanna
36,119357402,,John F. Kennedy #7,Prospect Ave & Saginaw St,Kindergarten,100.0,Lackawanna
37,119357402,,John G Whittier #2,700 Orchard St,Kindergarten,97.37,Lackawanna
38,119354603,,Lakeland El Sch - Mayfield Campus,501 Linden St,Kindergarten,97.37,Lackawanna
39,119354603,,Lakeland El Sch - Scott Campus,1333 Lakeland Dr,Kindergarten,100.0,Lackawanna
40,119354603,,Lakeland JSHS,1355 Lakeland Dr,7th Grade,100.0,Lackawanna
41,119354603,,Lakeland JSHS,1355 Lakeland Dr,12th Grade,100.0,Lackawanna
42,119357402,,McNichols Plaza,1111 S Irving Ave,Kindergarten,98.11,Lackawanna
43,119355503,,Mid Valley El Ctr,50 Underwood Rd,Kindergarten,98.44,Lackawanna
44,119355503,,Mid Valley Secondary Center,52 Underwood Rd,7th Grade,98.83,Lackawanna
45,119355503,,Mid Valley Secondary Center,52 Underwood Rd,12th Grade,99.24,Lackawanna
46,119356503,,Moscow El Sch,851 Church St,Kindergarten,94.85,Lackawanna
47,119357402,,Neil Armstrong #40,N Lincoln Ave & Clearview St,Kindergarten,100.0,Lackawanna
48,119350303,,Newton-Ransom Sch,1549 Newton Ransom Boulevard,Kindergarten,93.75,Lackawanna
49,119356503,,North Pocono HS,97 Bochicchio Blvd,12th Grade,98.54,Lackawanna
50,119356503,,North Pocono MS,701 Church St,7th Grade,99.09,Lackawanna
51,119357402,,Northeast Intrmd Sch,721 Adams Ave,7th Grade,99.14,Lackawanna
52,119000000,,Northeastern Educational IU 19,1200 Line St,12th Grade,100.0,Lackawanna
53,119356603,,Old Forge El Sch,401 Melmore St,Kindergarten,97.33,Lackawanna
54,119356603,,Old Forge JSHS,300 Marion St,7th Grade,100.0,Lackawanna
55,119356603,,Old Forge JSHS,300 Marion St,12th Grade,100.0,Lackawanna
56,219355501,,Our Lady of Peace School,410 North Abington Road,Kindergarten,75.0,Lackawanna
57,219355501,,Our Lady of Peace School,410 North Abington Road,7th Grade,96.67,Lackawanna
58,119357003,,Riverside El Sch West,308 Davis St,Kindergarten,100.0,Lackawanna
59,119357003,,Riverside JSHS,310 Davis St,7th Grade,100.0,Lackawanna
60,119357003,,Riverside JSHS,310 Davis St,12th Grade,100.0,Lackawanna
61,119357402,,Robert Morris #27,1824 Boulevard Ave,Kindergarten,96.77,Lackawanna
62,119357402,,Scranton HS,63 Munchak Way,7th Grade,100.0,Lackawanna
63,119357402,,Scranton HS,63 Munchak Way,12th Grade,99.68,Lackawanna
