Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,Public,10th Street School,7204 27th Ave NE,Snohomish,93.47,K-12
,Public,A G West Black Hills High School,7741 Littlerock Rd SW,Thurston,91.45,K-12
,Public,A J West Elementary,1801 Bay Ave,Grays Harbor,98.08,K-12
,Public,A-3 Multiagency Adolescent Program,1807 N Washington St,Spokane,100.0,K-12
,Public,Abraham Lincoln Elementary,1224 Methow St,Chelan,97.73,K-12
,Private,Academy for Precision Learning - Lower School,5031 University Way NE,King,95.52,K-12
,Private,Academy Northwest,514 State Ave,Snohomish,71.19,K-12
,Private,Academy Schools,14601 Interurban Ave S,King,89.66,K-12
,Public,Acceleration Academy,16218 Pacific Ave S,Pierce,94.7,K-12
,Public,ACES High School,9700 Holly Dr,Snohomish,96.8,K-12
,Public,Acme Elementary,5200 Turkington Rd,Whatcom,89.12,K-12
,Public,Adams Elementary,2909 E 37th Ave,Spokane,94.03,K-12
,Public,Adams Elementary School,6110 28th Ave NW,King,98.89,K-12
,Public,Adams Elementary School,723 S 8th St,Yakima,99.22,K-12
,Public,Adelaide Elementary School,1635 SW 304th St,King,93.87,K-12
,Public,Adna Elementary School,220 Dieckman Rd,Lewis,92.52,K-12
,Public,Adna Middle/High School,121 Adna School Rd,Lewis,97.35,K-12
,Private,Agape Christian Academy,717 SE Everett Rd,Clark,68.36,K-12
,Public,Ahtanum Valley Elementary,3006 S Wiley Rd,Yakima,98.54,K-12
,Public,AIM High School,1601 Avenue D,Snohomish,92.06,K-12
,Public,Aki Kurose Middle School,3928 S Graham St,King,96.51,K-12
,Public,Alan T. Sugiyama High School,8601 Rainier Ave S,King,100.0,K-12
,Private,Albayan Science Academy,18323 Bothell Everett Hwy,Snohomish,85.37,K-12
,Public,Albert Einstein Middle School,19343 3rd Ave NW,King,98.59,K-12
,Public,Alcott Elementary,4213 228th Ave NE,King,99.51,K-12
,Public,Alderwood Elementary School,3400 Hollywood Ave,Whatcom,89.84,K-12
,Public,Alderwood Middle School,1132 172nd St SW,Snohomish,96.71,K-12
,Public,Alfaretta House,10320 Farwest Dr SW,Pierce,100.0,K-12
,Private,Alger Learning Center,100 Pine St,Whatcom,90.91,K-12
,Public,Alki Elementary School,3010 59th Ave SW,King,97.37,K-12
,Public,Alki Middle School,1800 NW Bliss Rd,Clark,96.75,K-12
,Private,All Saints Catholic School,504 2nd St SW,Pierce,100.0,K-12
,Private,All Saints Catholic School,3510 E 18th Ave,Spokane,98.19,K-12
,Public,Allen Creek Elementary School,6505 60th Dr NE,Snohomish,92.94,K-12
,Public,Allen Elementary,17145 Cook Rd,Skagit,92.16,K-12
,Public,Almira Coulee Hartline High School,413 N 4th St,Grant,100.0,K-12
,Public,Almira Elementary School,310 S 3rd St,Lincoln,99.2,K-12
,Public,Alpac Elementary School,310 Milwaukee Blvd N,King,90.6,K-12
,Public,Alpine Lakes Elementary,500 Pine St,Chelan,99.6,K-12
,Public,Amboy Middle School,22115 NE Chelatchie Rd,Clark,93.87,K-12
,Public,Amistad Elementary School,123 S Kent St,Benton,99.4,K-12
,Public,Amon Creek Elementary,18 Center Pkwy,Benton,96.9,K-12
,Public,Anacortes High School,1600 20th St,Skagit,94.58,K-12
,Public,Anacortes Middle School,2202 M Ave,Skagit,95.45,K-12
,Public,Ancient Lakes Elementary,417 C St SE,Grant,94.89,K-12
,Public,Anderson Island Elementary,13005 Camus Rd,Pierce,58.33,K-12
,Public,Angelo Giaudrone Middle School,4902 S Alaska St,Pierce,96.71,K-12
,Private,Annie Wright Schools,827 N Tacoma Ave,Pierce,99.03,K-12
,Public,Apollo Elementary,15025 SE 117th St,King,98.74,K-12
,Public,Apple Valley Elementary,7 N 88th Ave,Yakima,95.49,K-12
,Private,Aquinas Classical Academy,4215 Pine Rd NE,Kitsap,86.54,K-12
,Public,Arbor Heights Elementary School,3701 SW 104th St,King,97.37,K-12
,Private,Arbor Montessori School,1107 228th Ave SE,King,97.87,K-12
,Public,Arcadia Elementary,1120 E D St,Spokane,90.77,K-12
,Private,Archbishop Murphy High School,12911 39th Ave SE,Snohomish,91.78,K-12
,Public,Ardmore Elementary School,16616 NE 32nd St,King,84.09,K-12
,Private,Arise Christian Academy,3622 E 51st Ave,Spokane,57.14,K-12
,Private,Arlington Christian School,2425 200th St NE,Snohomish,63.25,K-12
,Public,Arlington Elementary,6363 N Smith St,Spokane,95.64,K-12
,Public,Arlington Elementary School,7202 S Pine St,Pierce,93.9,K-12
,Public,Arlington High School,18821 Crown Ridge Blvd,Snohomish,96.69,K-12
,Public,Arlington Open Doors,4407 172nd St NE,Snohomish,97.67,K-12
,Public,Armin Jahr Elementary,800 Dibb St,Kitsap,90.91,K-12
,Public,Arrowhead Elementary,6725 NE Arrowhead Dr,King,98.19,K-12
,Public,Arthur Jacobsen Elementary,29205 132nd Ave SE,King,94.13,K-12
,Public,Artondale Elementary School,6219 40th St NW,Pierce,95.24,K-12
,Public,Artz Fox Elementary,805 Washington St,Yakima,99.38,K-12
,Public,Asotin Elementary,314 First St,Asotin,89.49,K-12
,Public,Asotin Jr Sr High,215 2nd St,Asotin,92.57,K-12
,Public,Aspire Academy,124 E Lawrence St,Skagit,88.27,K-12
,Public,Aspire Performing Arts Academy,5900 54th Ave SE,Thurston,98.7,K-12
,Private,Assumption / St. Bridget School,6220 32nd Ave NE,King,99.01,K-12
,Private,Assumption Catholic Grade School,2066 E Alder St,Walla Walla,67.46,K-12
,Private,Assumption Catholic School,2116 Cornwall Ave,Whatcom,94.59,K-12
,Private,Assumption Parish Catholic School,3618 W Indian Trail Rd,Spokane,94.63,K-12
,Public,Astravo Online Academy,304 S Adams St,Pacific,91.43,K-12
,Private,Auburn Adventist Academy,5000 Auburn Way S,King,88.34,K-12
,Public,Auburn Mountainview High School,28900 124th Ave SE,King,96.48,K-12
,Public,Auburn Opportunity Project,401 W Main St,King,97.35,K-12
,Public,Auburn Riverside High School,501 Oravetz Rd SE,King,98.01,K-12
,Public,Auburn Senior High School,711 E Main St,King,97.9,K-12
,Public,Audubon Elementary,2020 W Carlisle Ave,Spokane,97.68,K-12
,Public,Audubon Elementary,3045 180th Ave NE,King,99.02,K-12
,Public,Avanti High School,1113 Legion Way SE,Thurston,91.43,K-12
,Public,Aylen Jr High,101 15th St SW,Pierce,96.97,K-12
,Public,B F Day Elementary School,3921 Linden Ave N,King,96.1,K-12
,Public,Badger Mountain Elementary,1515 Elementary St,Benton,96.95,K-12
,Public,Bailey Gatzert Elementary School,1301 E Yesler Way,King,88.49,K-12
,Public,Bainbridge High School,9330 NE High School Rd,Kitsap,97.65,K-12
,Public,Baker Middle School,8001 S J St,Pierce,96.49,K-12
,Private,Baker View Christian School,5353 Waschke Rd,Whatcom,94.12,K-12
,Public,Balboa Elementary,3010 W Holyoke Ave,Spokane,89.08,K-12
,Public,Ballard High School,1418 NW 65th St,King,99.05,K-12
,Public,Ballou Jr High,9916 136th St E,Pierce,96.96,K-12
,Public,Barbara McClintock STEM Elementary,5706 Road 60,Franklin,95.86,K-12
,Public,Barge-Lincoln Elementary School,219 E I St,Yakima,98.36,K-12
,Public,Barker Creek Community School,1400 NE McWilliams Rd,Kitsap,95.6,K-12
,Public,Barnes Elementary,401 Barnes St,Cowlitz,96.51,K-12
,Public,Basin City Elementary,303 Bailie Blvd,Franklin,99.34,K-12
,Private,BASIS Independent Bellevue,15749 NE 4th St,King,100.0,K-12
,Private,BASIS Independent Bothell,21540 30th Dr SE,Snohomish,99.56,K-12
