Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,Adams-Friendship El,,Adams,88.0,Kindergarten
,,Lake Superior El- Ashland,,Ashland,95.0,Kindergarten
,,Marengo Valley El,,Ashland,95.0,Kindergarten
,,Our Lady of the Lake Catholic,,Ashland,90.0,Kindergarten
,,Mellen Public Sch,,Ashland,82.0,Kindergarten
,,Barron Area Montessori Sch,,Barron,91.0,Kindergarten
,,Woodland El,,Barron,75.0,Kindergarten
,,Cameron El,,Barron,85.0,Kindergarten
,,Chetek-Weyerhaeuser Roselawn,,Barron,84.0,Kindergarten
,,Cumberland El- Cumberland,,Barron,87.0,Kindergarten
,,Haugen El,,Barron,92.0,Kindergarten
,,Prairie Farm El,,Barron,95.0,Kindergarten
,,Hilltop El,,Barron,76.0,Kindergarten
,,Saint Joseph Sch- Rice Lake,,Barron,67.0,Kindergarten
,,Tainter El,,Barron,86.0,Kindergarten
,,Turtle Lake El,,Barron,85.0,Kindergarten
,,Bayfield El,,Bayfield,82.0,Kindergarten
,,Drummond El,,Bayfield,76.0,Kindergarten
,,South Shore El,,Bayfield,95.0,Kindergarten
,,Washburn El,,Bayfield,92.0,Kindergarten
,,Creekside Christian Montessori,,Brown,80.0,Kindergarten
,,Dickinson El,,Brown,95.0,Kindergarten
,,Hemlock Creek El,,Brown,83.0,Kindergarten
,,Heritage El,,Brown,94.0,Kindergarten
,,Notre Dame of De Pere-GRACE,,Brown,88.0,Kindergarten
,,Our Lady of Lourdes Sch-GRACE,,Brown,86.0,Kindergarten
,,Susie C Altmayer El,,Brown,88.0,Kindergarten
,,Westwood El,,Brown,89.0,Kindergarten
,,Denmark El,,Brown,95.0,Kindergarten
,,Aldo Leopold Comm Sch K-8,,Brown,86.0,Kindergarten
,,Baird El,,Brown,90.0,Kindergarten
,,Bay City Christian Sch,,Brown,38.0,Kindergarten
,,Beaumont El,,Brown,84.0,Kindergarten
,,Chappell El,,Brown,75.0,Kindergarten
,,Cormier Sch and Early Lrn Ctr,,Brown,93.0,Kindergarten
,,Danz El,,Brown,84.0,Kindergarten
,,Doty El,,Brown,92.0,Kindergarten
,,Eisenhower El- Green Bay,,Brown,87.0,Kindergarten
,,Elmore El,,Brown,72.0,Kindergarten
,,Father Allouez Catholic School-GRACE,,Brown,90.0,Kindergarten
,,Forest Glen El,,Brown,88.0,Kindergarten
,,Fort Howard El,,Brown,74.0,Kindergarten
,,Green Bay Trinity Lutheran Sch,,Brown,95.0,Kindergarten
,,Holy Family Sch-GRACE,,Brown,33.0,Kindergarten
,,Howard El,,Brown,86.0,Kindergarten
